uid,pid,qb,sk,value,ydsl
22674,748703,AR-1300,MJ-1800,1,-7
22675,748720,AD-0100,AB-3100,1,-7
22676,748724,AR-1300,CS-2350,0.5,-13
22677,748724,AR-1300,CL-0375,0.5,-13
22678,748730,AD-0100,JJ-4582,1,-8
22679,748831,AS-1600,CM-1250,1,-9
22680,748840,AS-1600,MI-0150,1,-2
22681,748841,AS-1600,JB-4450,0.5,-6
22682,748841,AS-1600,CL-1000,0.5,-6
22683,748898,AS-1600,MI-0150,1,-11
22684,748924,AS-1600,MI-0150,1,-5
22685,748933,PR-0300,AB-0100,1,0
22686,748934,PR-0300,JH-5500,1,-11
22687,748965,DC-0725,JA-1062,0.5,-6
22688,748965,DC-0725,JG-0400,0.5,-6
22689,748966,DC-0725,PS-0550,1,-3
22690,748992,KC-2350,KM-0050,1,-9
22691,749036,DC-0725,RK-0500,1,-5
22692,749038,DC-0725,JA-1062,0.5,-8
22693,749038,DC-0725,MI-0175,0.5,-8
22694,749157,DP-2037,CJ-2050,1,-9
22695,749161,CP-0500,MC-2150,1,-7
22696,749171,CP-0500,TC-2950,1,-6
22697,749181,CP-0500,DL-0450,1,-6
22698,749248,CP-0500,MC-2150,1,-5
22699,749257,CP-0500,DL-0450,1,-11
22700,749260,CP-0500,DL-0450,1,-7
