uid,pid,ptm,pen,desc,cat,pey,act
67674,748683,GB,AR-1300,Delay of Game,3,5,A
67675,748685,CIN,JS-2050,Offensive Holding,2,6,A
67676,748691,GB,KF-0050,Illegal Block Above the Waist,7,10,A
67677,748711,CIN,DK-0750,Defensive Pass Interference,5,1,A
67678,748736,CIN,WJ-0150,12 On-field,3,5,A
67679,748745,CIN,AD-0100,Intentional Grounding,3,12,A
67680,748749,CIN,AJ-1200,Defensive Pass Interference,5,7,A
67681,748756,GB,KK-0750,Defensive Pass Interference,5,6,A
67682,748778,CIN,CL-0375,Defensive Offside,4,4,A
67683,748790,CIN,MJ-1800,Defensive Offside,4,0,D
67684,748793,LAC,RJ-0650,Illegal Block Above the Waist,7,6,A
67685,748816,LAC,TW-2856,Offensive Holding,2,10,A
67686,748824,KC,DF-1350,Roughing the Passer,6,12,A
67687,748829,KC,BW-2750,Offensive Holding,2,10,A
67688,748836,LAC,RO-0400,Illegal Formation,3,0,D
67689,748842,LAC,RJ-0650,Roughing the Kicker,6,15,A
67690,748845,KC,CW-1450,False Start,1,5,A
67691,748853,KC,PG-0050,Illegal Use of Hands,5,0,D
67692,748857,KC,MP-0950,Defensive Holding,5,5,A
67693,748858,KC,MP-0950,Unsportsmanlike Conduct,6,13,A
67694,748860,LAC,MS-2300,Illegal Use of Hands,2,10,A
67695,748868,KC,TK-0150,Offensive Holding,2,10,A
67696,748872,LAC,KA-0650,False Start,1,5,A
67697,748881,LAC,PR-0300,Delay of Game,3,5,A
67698,748884,KC,EF-0050,Offensive Holding,2,10,A
67699,748888,LAC,KW-0930,False Start,1,5,A
67700,748892,KC,KP-0650,Offensive Holding,2,10,A
67701,748903,LAC,DK-0350,Delay of Game,3,5,A
67702,748908,KC,AS-1600,Delay of Game,3,5,A
67703,748910,KC,TS-2075,Ineligible Downfield Kick,3,5,A
67704,748928,KC,FZ-0100,Defensive Pass Interference,5,21,A
67705,748931,KC,EM-2100,Defensive Holding,5,5,A
67706,748931,KC,TM-2850,Illegal Use of Hands,5,0,D
67707,748948,KC,PG-0050,Defensive Pass Interference,5,11,A
67708,748950,LAC,KA-0650,Illegal Formation,3,0,D
67709,748970,WAS,MM-5450,False Start,1,5,A
67710,748971,WAS,RG-1650,Offensive Pass Interference,2,0,D
67711,748978,WAS,TW-2800,False Start,1,5,A
67712,748986,OAK,SR-0750,Offensive Holding,2,10,A
67713,748989,WAS,TP-2400,Offensive Holding,2,10,A
67714,748995,WAS,RK-0500,Neutral Zone,4,5,A
67715,749022,WAS,KC-2350,Delay of Game,3,5,A
67716,749029,WAS,NP-0100,Offensive Holding,2,10,A
67717,749049,WAS,BB-2725,Defensive Holding,5,0,D
67718,749054,WAS,TW-2800,Offensive Holding,2,10,A
67719,749062,OAK,KO-0750,Offensive Holding,2,10,A
67720,749065,WAS,SM-1150,Offensive Holding,2,9,A
67721,749068,WAS,BB-2725,Defensive Pass Interference,5,8,A
67722,749089,OAK,MN-0400,Offensive Holding,2,10,A
67723,749092,OAK,DP-1100,False Start,1,5,A
67724,749096,WAS,NP-0100,Illegal Formation,3,0,D
67725,749097,WAS,VD-0100,Offensive Holding,2,10,A
67726,749108,DAL,DL-0450,Defensive Offside,4,6,A
67727,749128,DAL,BM-0750,Defensive Offside,4,6,A
67728,749134,ARI,JV-0300,Offensive Holding,2,10,A
67729,749151,DAL,JH-0860,False Start,1,5,A
67730,749153,ARI,RN-1275,Defensive Offside,4,5,A
67731,749154,ARI,FR-0200,Unnecessary Roughness,6,15,A
67732,749163,ARI,MG-0925,Defensive Offside,4,5,A
67733,749165,ARI,PP-0400,Defensive Holding,5,5,A
67734,749170,DAL,SL-0500,Illegal Contact,5,5,A
67735,749183,DAL,KW-0960,Defensive Offside,4,5,A
67736,749205,DAL,KW-0960,Neutral Zone,4,5,A
67737,749225,DAL,BJ-2350,Defensive Holding,5,0,D
67738,749227,ARI,JG-3700,Offensive Holding,2,10,A
67739,749255,DAL,DL-0450,Defensive Offside,4,5,A
67740,749258,DAL,OS-0200,Defensive Pass Interference,5,34,A
67741,749259,DAL,BJ-2350,Defensive Holding,5,0,D
67742,749262,DAL,AB-3450,Defensive Holding,5,5,A
