uid,pid,ptm,pen,desc,cat,pey,act
67328,745485,LAC,JB-4450,Unnecessary Roughness,6,15,A
67329,745494,LAC,TW-2875,False Start,1,5,A
67330,745496,LAC,PR-0300,Delay of Game,3,5,A
67331,745523,MIA,RJ-2000,Defensive Pass Interference,5,3,A
67332,745525,MIA,JP-2850,Defensive Offside,4,0,A
67333,745535,MIA,DG-1275,Defensive Offside,4,0,D
67334,745551,LAC,TB-1850,Unnecessary Roughness,6,15,A
67335,745588,LAC,CH-0200,Offensive Holding,2,10,A
67336,745596,LAC,AP-1050,Defensive Holding,5,0,D
67337,745601,MIA,JB-8200,Offensive Holding,2,10,A
67338,745605,LAC,DP-1275,Offensive Holding,2,6,A
67339,745622,MIA,BM-0775,Illegal Use of Hands,5,5,A
67340,745628,OAK,LS-1550,Unnecessary Roughness,6,7,A
67341,745631,OAK,JH-5125,Player Out of Bounds on Punt,3,5,A
67342,745642,NYJ,MW-1800,Neutral Zone,4,5,A
67343,745655,OAK,DP-1100,Clipping,7,7,A
67344,745669,OAK,BI-0150,Unnecessary Roughness,6,15,A
67345,745674,OAK,JF-0950,Unnecessary Roughness,6,15,A
67346,745685,OAK,ML-0662,Taunting,6,15,A
67347,745702,OAK,NM-0675,Offside on Free Kick,3,5,A
67348,745709,NYJ,BI-0100,Illegal Motion,3,5,A
67349,745715,NYJ,JM-2900,Delay of Game,3,5,A
67350,745721,NYJ,BS-2300,Unnecessary Roughness,6,15,A
67351,745728,OAK,KM-0050,Defensive Offside,4,5,A
67352,745742,NYJ,MC-1350,Defensive Pass Interference,5,17,A
67353,745769,OAK,DC-0725,False Start,1,5,A
67354,745791,DAL,CG-2175,False Start,1,5,A
67355,745829,DAL,DL-0450,Leverage,8,15,A
67356,745837,DAL,DB-5300,Offensive Pass Interference,2,10,A
67357,745870,DEN,RL-0350,Offensive Holding,2,10,A
67358,745874,DAL,AB-3450,Defensive Pass Interference,5,10,A
67359,745881,DEN,VM-0300,Defensive Offside,4,5,A
67360,745882,DEN,BM-0330,Defensive Holding,5,0,D
67361,745882,DEN,VM-0300,Roughing the Passer,6,15,A
