tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd,fp
9110,4555,SF,39,7,6,7,19,7,15,3,113,33,308,37,23,4,1,1,2,83,2,9,3,56,0,0,55,30.5,5,3,2,0,2,2,84,6,5,41,173,17,8,5,4,19,10,2,7,2,5,6,41,3,2,9,18,5,18,5,17,3,12,13,48,13,48,7,17,1,9,11,31,6,45,13,64,6,142,1,50,0,0,15,204,8,55,5,9,9,64,31,129,18,228,9,11,14,69,8,7,8,12,58,8,60,4,5,8,16,13,36,10,38,24,0,0,469,13,83,0,1,0,10.5,0.5,9,1.5,9.5,16,9,6,4,6,2,9,0,2,3,0,1,4,1,0,79,65,-2
9111,4556,BAL,7,0,0,0,7,6,4,2,134,25,52,27,14,2,2,1,7,311,0,0,0,0,0,0,88,26,1,0,1,0,0,0,0,1,1,73,0,14,7,6,1,7,3,2,2,4,36,1,-1,6,17,2,7,9,44,1,9,2,23,13,60,11,73,1,2,0,0,5,8,5,3,11,53,1,0,2,0,3,0,11,14,4,11,5,26,7,13,33,184,10,21,8,20,11,11,7,7,0,4,11,5,-12,0,0,0,0,2,6,1,6,12,0,0,289,12,289,1,1,0,9.5,1,13.5,7,8,8,3,2,1,7,0,5,0,0,3,2,2,2,2,0,58,73,-4
9112,4556,JAC,44,10,13,14,7,7,13,4,169,38,244,33,20,0,0,0,3,150,2,2,1,12,2,20,70,34,5,1,4,0,3,3,97,6,4,83,65,12,6,3,3,18,6,10,2,1,7,4,15,5,12,2,12,10,22,5,22,5,61,20,68,7,20,5,63,3,18,6,21,11,69,11,89,0,0,1,30,1,35,10,85,4,13,6,74,10,72,25,189,9,62,16,156,8,26,3,13,4,8,45,11,124,0,0,0,0,7,19,9,32,0,0,0,500,13,150,0,1,0,11,3,9,6,5,6,2,4,2,6,2,4,0,1,3,3,2,0,1,0,73,58,12
9113,4557,ATL,30,7,13,3,7,9,15,2,152,29,277,35,24,2,3,0,2,91,2,38,2,54,0,0,68,32.5,3,1,2,0,3,3,124,4,2,82,67,14,6,7,1,18,9,6,3,6,39,6,28,0,0,8,41,0,0,2,16,5,28,16,69,10,65,1,18,0,0,11,113,8,46,9,117,5,0,2,18,0,0,18,119,7,91,2,9,8,75,17,98,19,157,10,76,8,44,4,14,6,6,28,12,81,8,45,8,88,6,13,8,18,17,1,0,334,12,81,0,1,0,9,1,5,6,5,18,4,2,1,6,2,4,0,4,2,0,0,3,1,0,68,70,3
9114,4557,DET,26,0,13,10,3,3,15,3,71,19,253,45,25,2,0,0,5,239,1,10,1,11,3,89,98,27.5,2,0,1,1,4,4,187,3,1,32,71,6,5,1,0,19,6,10,3,4,29,4,10,0,0,6,9,0,0,2,12,3,11,14,59,5,12,0,0,2,19,13,41,8,57,17,95,3,22,1,29,3,20,17,82,8,88,8,17,12,77,46,282,17,98,17,105,13,50,6,13,6,2,2,6,35,5,26,19,100,1,3,8,17,11,0,0,327,11,201,0,1,0,8,2,7,5.5,11,16.5,32,4,0,8,2,5,7,0,4,1,1,3,2,0,70,68,13
9115,4558,CLE,28,0,14,0,14,7,13,5,111,21,235,47,22,1,3,0,7,347,1,0,0,0,0,0,113,26.5,4,2,2,0,0,0,0,5,4,54,132,12,7,3,2,17,9,5,3,4,34,1,13,1,1,8,39,0,0,2,5,5,19,11,50,7,36,3,25,7,44,11,41,7,58,17,59,4,38,3,0,4,46,10,54,15,56,10,45,10,91,51,366,22,117,16,76,10,42,7,9,6,6,27,7,1,0,0,2,0,3,32,3,12,7,2,0,404,14,331,0,3,0,14,3.5,12,5,6,9.5,9,2,2,10,3,4,0,2,4,0,1,1,2,0,77,66,4
9116,4558,IND,31,7,21,0,3,6,7,3,93,37,243,24,17,3,0,1,7,320,3,16,0,0,3,40,99,33.5,4,3,1,0,1,1,33,4,3,21,193,10,4,2,4,9,2,3,4,2,14,4,5,0,0,16,32,3,25,8,12,2,5,19,31,8,21,8,41,4,15,11,92,3,7,6,78,1,34,0,0,3,47,12,196,2,31,7,29,3,2,34,333,5,17,13,94,9,131,5,6,6,7,24,9,69,3,0,0,0,5,23,4,12,16,0,0,414,14,300,1,1,0,4,4,8,8.5,6,7.5,0,3,2,12,4,14,0,3,2,0,0,4,3,0,66,77,6
9117,4559,DEN,16,3,10,3,0,7,10,4,111,23,255,40,24,3,2,0,3,125,1,16,3,81,0,0,79,29.5,1,1,0,0,3,3,101,3,1,75,142,9,3,3,3,16,8,5,3,3,7,1,12,3,0,6,49,5,21,4,18,1,4,11,26,7,73,5,12,3,12,10,31,5,22,15,87,5,49,0,0,5,70,24,173,8,55,5,23,3,8,48,411,18,129,14,48,11,78,10,8,6,8,13,13,83,1,12,5,31,4,17,6,4,4,3,0,261,11,85,1,0,0,5,3,13,10,12,8,3,3,2,7,3,6,0,4,3,1,0,0,2,0,70,65,4
9118,4559,BUF,26,0,13,7,6,4,11,1,78,37,197,26,20,4,0,0,5,226,2,20,2,41,2,15,69,30.5,2,0,2,0,4,4,184,3,2,10,112,10,4,4,2,15,7,4,4,5,11,7,4,5,23,5,18,5,10,2,11,1,2,14,27,11,27,5,25,5,17,11,83,6,43,6,3,1,31,0,0,2,53,7,61,4,34,7,70,8,48,27,166,11,80,9,60,10,57,5,10,5,4,10,4,0,13,27,4,12,8,15,4,14,16,0,0,477,12,190,1,2,0,9.5,3,8.5,5.5,4,17.5,2,4,2,10,3,10,0,0,2,1,0,3,2,1,65,70,8
9119,4560,HOU,33,10,10,7,6,7,13,3,125,32,292,33,22,2,2,0,4,234,3,20,4,75,0,0,60,33.5,3,0,2,1,4,4,146,3,1,12,150,18,7,7,4,17,10,5,2,5,20,5,17,1,3,12,50,2,3,4,19,3,13,15,58,9,33,8,34,8,41,12,103,3,13,10,100,5,21,2,29,1,35,12,91,7,59,9,75,5,76,46,429,17,148,12,122,6,22,7,7,8,6,12,7,61,11,39,10,117,4,9,4,15,9,3,1,288,12,181,0,2,0,7.5,1,9,9,3.5,14,8,5,3,6,1,5,7,1,2,3,1,4,0,0,71,65,9
