gid,pid,detail,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,ptck1,ptck2,sk1,sk2,ptm1,pen1,desc1,cat1,pey1,act1,ptm2,pen2,desc2,cat2,pey2,act2,ptm3,pen3,desc3,cat3,pey3,act3,ints,iry,fum,frcv,fry,forc,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry
4524,741586,"(9:53) (Shotgun) T.Brady pass deep middle to R.Gronkowski for 20 yards, TOUCHDOWN. Penalty on KC-D.Ford, Defensive Offside, declined. The Replay Official reviewed the pass completion ruling, and the play was REVERSED. (Shotgun) T.Brady pass incomplete deep middle to R.Gronkowski. PENALTY on KC-D.Ford, Defensive Offside, 5 yards, enforced at KC 20 - No Play.",NE,KC,NOPL,5,4,1,9,53,7,0,3,3,3,11,80,5,,,,,,,,,,,,,,,,,,,,,,KC,DF-1350,Defensive Offside,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741587,(9:49) (Shotgun) T.Brady pass short middle to D.Amendola to KC 10 for 5 yards (R.Parker).,NE,KC,PASS,6,15,1,9,49,7,0,3,3,3,6,85,5,5,,,Y,,,,,,,,TB-2300,Y,,SM,DA-0900,,RP-0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741588,"(9:34) M.Gillislee up the middle to KC 10 for no gain (A.Bailey, B.Logan).",NE,KC,RUSH,7,9,1,9,34,7,0,3,3,4,1,90,5,0,,,,,,MG-0650,,MD,BL-1350,AB-0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741589,"(9:25) K.Hunt right guard to KC 19 for 9 yards (J.Richards, S.Gilmore).",KC,NE,RUSH,1,37,1,9,25,0,7,3,3,1,10,10,1,9,Y,,,,,KH-2850,,RG,JR-2150,SG-0650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741590,"(8:48) (Shotgun) T.Kelce up the middle to KC 23 for 4 yards (J.Richards, M.Brown).",KC,NE,RUSH,2,43,1,8,48,0,7,3,3,2,1,19,1,4,Y,Y,Y,,,TK-0150,,MD,MB-3875,JR-2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741591,(8:05) (Shotgun) A.Smith pass short left to T.Hill ran ob at KC 37 for 14 yards.,KC,NE,PASS,3,27,1,8,5,0,7,3,3,1,10,23,2,14,Y,Y,Y,,,,,,,,AS-1600,Y,,SL,TH-1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741592,(7:38) (Shotgun) A.Smith pass short left to D.Harris pushed ob at KC 45 for 8 yards (D.McCourty).,KC,NE,PASS,4,33,1,7,38,0,7,3,3,1,10,37,2,8,Y,,Y,,,,,,,,AS-1600,Y,,SL,DH-1450,,DM-1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741593,(7:05) (Shotgun) A.Smith pass short left to K.Hunt pushed ob at 50 for 5 yards (M.Butler).,KC,NE,PASS,5,31,1,7,5,0,7,3,3,2,2,45,3,5,Y,Y,Y,,,,,,,,AS-1600,Y,,SL,KH-2850,,MB-5250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741594,(6:34) (Shotgun) K.Hunt right tackle to NE 41 for 9 yards (S.Gilmore).,KC,NE,RUSH,6,43,1,6,34,0,7,3,3,1,10,50,3,9,Y,,Y,,,KH-2850,,RT,SG-0650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741595,(5:51) (Shotgun) A.Smith pass short middle to A.Wilson to NE 38 for 3 yards (M.Brown).,KC,NE,PASS,7,38,1,5,51,0,7,3,3,2,1,59,3,3,Y,Y,Y,,,,,,,,AS-1600,Y,,SM,AW-1650,,MB-3875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741596,(5:13) (Shotgun) A.Smith pass short middle to T.Hill to NE 27 for 11 yards (P.Chung).,KC,NE,PASS,8,42,1,5,13,0,7,3,3,1,10,62,4,11,Y,Y,Y,,,,,,,,AS-1600,Y,,SM,TH-1750,,PC-0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741597,(4:31) (Shotgun) A.Smith pass short right to C.Conley pushed ob at NE 9 for 18 yards (K.Van Noy).,KC,NE,PASS,9,35,1,4,31,0,7,3,3,1,10,73,4,18,Y,Y,Y,,,,,,,,AS-1600,Y,,SR,CC-3950,,KV-0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741598,(3:56) (Shotgun) A.Smith pass incomplete short right.,KC,NE,PASS,10,9,1,3,56,0,7,3,3,1,9,91,5,,,,Y,,,,,,,,AS-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741599,(3:47) K.Hunt up the middle to NE 7 for 2 yards (K.Van Noy).,KC,NE,RUSH,11,37,1,3,47,0,7,3,3,2,9,91,5,2,,,,,,KH-2850,,MD,KV-0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741600,"(3:10) (Shotgun) A.Smith pass short right to D.Harris for 7 yards, TOUCHDOWN.",KC,NE,PASS,12,7,1,3,10,0,7,3,3,3,7,93,5,7,Y,Y,Y,,7,,,,,,AS-1600,Y,,SR,DH-1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741601,"C.Santos extra point is GOOD, Center-J.Winchester, Holder-D.Colquitt.",KC,NE,FGXP,12,3,1,3,3,7,7,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XP,CS-0250,33,Y,,,,,,,,,,,,,
4524,741602,"C.Santos kicks 65 yards from KC 35 to end zone, Touchback.",NE,KC,KOFF,0,6,1,3,3,7,7,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS-0250,65,40,Y,,
4524,741603,(3:03) (Shotgun) M.Gillislee left guard to NE 28 for 3 yards (R.Parker).,NE,KC,RUSH,1,35,1,3,3,7,7,3,3,1,10,25,2,3,,,Y,,,MG-0650,,LG,RP-0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741604,"(2:32) (Shotgun) T.Brady pass deep middle to D.Amendola to KC 45 for 27 yards (R.Parker, E.Berry).",NE,KC,PASS,2,27,1,2,32,7,7,3,3,2,7,28,2,27,Y,Y,Y,,,,,,,,TB-2300,Y,,DM,DA-0900,,EB-0800,RP-0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741605,(2:05) (No Huddle) T.Brady pass short middle to B.Cooks ran ob at KC 30 for 15 yards.,NE,KC,PASS,3,29,1,2,5,7,7,3,3,1,10,55,3,15,Y,Y,,Y,,,,,,,TB-2300,Y,,SM,BC-2325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741606,(1:36) C.Hogan left end to KC 17 for 13 yards (P.Gaines).,NE,KC,RUSH,4,26,1,1,36,7,7,3,3,1,10,70,4,13,Y,Y,,,,CH-3350,,LE,PG-0050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741607,"(1:10) (No Huddle) M.Gillislee left end to KC 14 for 3 yards (R.Miller). PENALTY on KC-D.Sorensen, Defensive 12 On-field, 5 yards, enforced at KC 17 - No Play.",NE,KC,NOPL,4,28,1,1,10,7,7,3,3,1,10,83,5,,,,,,,,,,,,,,,,,,,,,,KC,DS-3162,12 On-field,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741608,(:42) (Shotgun) T.Brady pass incomplete short right to R.Burkhead (D.Johnson).,NE,KC,PASS,5,5,1,0,42,7,7,3,3,1,5,88,5,,,,Y,,,,,,,,TB-2300,,,SR,RB-4670,DJ-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741609,(:37) J.White left end pushed ob at KC 8 for 4 yards (T.Mitchell).,NE,KC,RUSH,6,14,1,0,37,7,7,3,3,2,5,88,5,4,Y,,,,,JW-2550,,LE,TM-2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741610,"(:23) (No Huddle, Shotgun) J.White up the middle to KC 8 for no gain (D.Johnson; R.Parker).",NE,KC,RUSH,7,35,1,0,23,7,7,3,3,3,1,92,5,0,,,Y,Y,,JW-2550,,MD,DJ-1600,RP-0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741611,"(15:00) S.Gostkowski 25 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",NE,KC,FGXP,8,4,2,15,0,7,7,3,3,4,1,92,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,SG-0800,25,Y,,,,,,,,,,,,,
4524,741612,"S.Gostkowski kicks 66 yards from NE 35 to KC -1. D.Thomas pushed ob at KC 30 for 31 yards (P.Chung). PENALTY on NE-B.King, Unnecessary Roughness, 15 yards, enforced at KC 30.",KC,NE,KOFF,0,5,2,14,56,7,10,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,NE,BK-0950,Unnecessary Roughness,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG-0800,66,35,,DT-0850,31
4524,741613,(14:51) A.Smith pass incomplete deep right to R.Travis (D.McCourty).,KC,NE,PASS,1,7,2,14,51,7,10,3,3,1,10,45,3,,,,,,,,,,,,AS-1600,,,DR,RT-1550,DM-1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741614,(14:44) (Shotgun) T.Hill right end to KC 49 for 4 yards (D.McCourty).,KC,NE,RUSH,2,37,2,14,44,7,10,3,3,2,10,45,3,4,,,Y,,,TH-1750,,RE,DM-1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741615,(14:07) (Shotgun) A.Smith sacked at KC 46 for -3 yards (T.Flowers).,KC,NE,PASS,3,45,2,14,7,7,10,3,3,3,6,49,3,-3,,,Y,,,,,,,,AS-1600,,,,,,,,TF-0750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741616,"(13:22) D.Colquitt punts 36 yards to NE 18, Center-J.Winchester, fair catch by D.Amendola.",NE,KC,PUNT,0,5,2,13,22,10,7,3,3,4,9,46,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC-3200,36,36,,DA-0900,,Y,,,,,,
4524,741617,"(13:17) C.Hogan right end to NE 22 for 4 yards (J.Houston, E.Berry).",NE,KC,RUSH,1,28,2,13,17,10,7,3,3,1,10,18,1,4,Y,,,,,CH-3350,,RE,JH-5500,EB-0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741618,(12:49) M.Gillislee right end to NE 26 for 4 yards (A.Bailey).,NE,KC,RUSH,2,40,2,12,49,10,7,3,3,2,6,22,2,4,Y,,,,,MG-0650,,RE,AB-0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741619,(12:09) (Shotgun) T.Brady pass short left to D.Amendola to NE 48 for 22 yards (T.Mitchell).,NE,KC,PASS,3,38,2,12,9,10,7,3,3,3,2,26,2,22,Y,Y,Y,,,,,,,,TB-2300,Y,,SL,DA-0900,,TM-2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741620,(11:31) (Shotgun) T.Brady pass incomplete deep left to R.Burkhead.,NE,KC,PASS,4,8,2,11,31,10,7,3,3,1,10,48,3,,,,Y,,,,,,,,TB-2300,,,DL,RB-4670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741621,(11:23) C.Hogan right end to NE 48 for no gain (J.Houston).,NE,KC,RUSH,5,39,2,11,23,10,7,3,3,2,10,48,3,0,,,,,,CH-3350,,RE,JH-5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741622,(10:44) (Shotgun) T.Brady pass short right to R.Gronkowski to KC 36 for 16 yards (E.Berry).,NE,KC,PASS,6,47,2,10,44,10,7,3,3,3,10,48,3,16,Y,Y,Y,,,,,,,,TB-2300,Y,,SR,RG-2200,,EB-0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741623,"(9:57) M.Gillislee left tackle to KC 20 for 16 yards (R.Parker, M.Peters).",NE,KC,RUSH,7,40,2,9,57,10,7,3,3,1,10,64,4,16,Y,Y,,,,MG-0650,,LT,MP-0950,RP-0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741624,"(9:17) M.Gillislee left end to KC 11 for 9 yards (T.Mitchell, R.Miller).",NE,KC,RUSH,8,39,2,9,17,10,7,3,3,1,10,80,5,9,Y,,,,,MG-0650,,LE,RM-4200,TM-2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741625,(8:38) M.Gillislee left guard to KC 7 for 4 yards (D.Johnson).,NE,KC,RUSH,9,23,2,8,38,10,7,3,3,2,1,89,5,4,Y,Y,,,,MG-0650,,LG,DJ-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741626,"(8:15) M.Gillislee right tackle to KC 5 for 2 yards (D.Ford, B.Logan).",NE,KC,RUSH,10,33,2,8,15,10,7,3,3,1,7,93,5,2,,,,,,MG-0650,,RT,BL-1350,DF-1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741627,"(7:42) (Shotgun) T.Brady pass incomplete short left to C.Hogan. PENALTY on KC-T.Mitchell, Defensive Holding, 3 yards, enforced at KC 5 - No Play.",NE,KC,NOPL,10,11,2,7,42,10,7,3,3,2,5,95,5,,,,,,,,,,,,,,,,,,,,,,KC,TM-2850,Defensive Holding,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741628,"(7:31) M.Gillislee left guard for 2 yards, TOUCHDOWN.",NE,KC,RUSH,11,4,2,7,31,10,7,3,3,1,2,98,5,2,Y,Y,,,7,MG-0650,,LG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741629,"S.Gostkowski extra point is GOOD, Center-J.Cardona, Holder-R.Allen.",NE,KC,FGXP,11,3,2,7,27,17,7,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XP,SG-0800,33,Y,,,,,,,,,,,,,
4524,741630,S.Gostkowski kicks 71 yards from NE 35 to KC -6. D.Thomas to KC 23 for 29 yards (J.Richards).,KC,NE,KOFF,0,6,2,7,27,7,17,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG-0800,71,42,,DT-0850,29
4524,741631,(7:22) (Shotgun) K.Hunt right end pushed ob at KC 26 for 3 yards (K.Van Noy).,KC,NE,RUSH,1,35,2,7,22,7,17,3,3,1,10,23,2,3,,,Y,,,KH-2850,,RE,KV-0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741632,(6:47) (Shotgun) K.Hunt right end pushed ob at KC 36 for 10 yards (K.Van Noy).,KC,NE,RUSH,2,36,2,6,47,7,17,3,3,2,7,26,2,10,Y,Y,Y,,,KH-2850,,RE,KV-0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741633,"(6:11) T.Hill left guard to KC 37 for 1 yard (A.Branch, T.Flowers).",KC,NE,RUSH,3,42,2,6,11,7,17,3,3,1,10,36,2,1,,,,,,TH-1750,,LG,AB-2700,TF-0750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741634,"(5:29) (Shotgun) D.Thomas right tackle to KC 41 for 4 yards (L.Guy, D.Hightower).",KC,NE,RUSH,4,44,2,5,29,7,17,3,3,2,9,37,2,4,,,Y,,,DT-0850,,RT,LG-1000,DH-2950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741635,(4:45) (Shotgun) A.Smith sacked at KC 29 for -12 yards (D.Wise).,KC,NE,PASS,5,48,2,4,45,7,17,3,3,3,5,41,3,-12,,,Y,,,,,,,,AS-1600,,,,,,,,DW-4150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741636,"(3:57) D.Colquitt punts 46 yards to NE 25, Center-J.Winchester, downed by KC. PENALTY on KC-D.Thomas, Interference with Opportunity to Catch, 15 yards, enforced at NE 25.",NE,KC,PUNT,0,13,2,3,57,17,7,3,3,4,17,29,2,,,,,,,,,,,,,,,,,,,,,,KC,DT-0850,Interference with Opportunity to Catch,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,DC-3200,46,46,,,,,,,,,,
4524,741637,(3:44) (Shotgun) D.Lewis up the middle to NE 44 for 4 yards (D.Ford).,NE,KC,RUSH,1,38,2,3,44,17,7,3,3,1,10,40,2,4,Y,,Y,,,DL-1700,,MD,DF-1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741638,(3:06) (Shotgun) T.Brady pass incomplete deep right to C.Hogan.,NE,KC,PASS,2,7,2,3,6,17,7,3,3,2,6,44,3,,,,Y,,,,,,,,TB-2300,,,DR,CH-3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741639,(2:59) (Shotgun) T.Brady pass incomplete short left to B.Cooks.,NE,KC,PASS,3,4,2,2,59,17,7,3,3,3,6,44,3,,,,Y,,,,,,,,TB-2300,,,SL,BC-2325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
