pid,bc,dir,yds,succ,kne
748487,DH-2450,MD,-1,0,0
748488,MM-0912,LE,5,0,0
748495,RW-3850,MD,0,0,0
748499,DM-4300,MD,3,1,0
748501,MM-0912,LE,3,0,0
748502,DM-4300,MD,6,1,0
748504,MM-0912,RE,4,1,0
748507,DM-4300,LT,5,1,0
748508,DM-4300,LT,2,0,0
748513,CC-0750,RT,3,0,0
748518,DM-4300,LG,1,0,0
748537,CC-0750,RG,1,0,0
748538,CC-0750,LT,5,0,0
748541,CC-0750,LG,7,1,0
748542,CC-0750,RG,7,1,0
748544,CP-2550,RG,1,0,0
748549,DM-4300,MD,3,1,0
748550,DM-4300,LT,9,1,0
748551,MM-0912,RE,3,0,0
748556,CC-0750,LE,1,0,0
748559,DH-2450,RG,3,0,0
748560,MM-0912,RE,10,1,0
748561,DH-2450,MD,7,1,0
748562,DH-2450,MD,5,1,0
748567,RW-3850,LE,3,0,0
748569,CC-0750,RT,-1,0,0
748573,DM-4300,LE,75,1,0
748577,CP-2550,LG,-1,0,0
748586,DH-2450,MD,8,1,0
748588,DH-2450,RE,25,1,0
748590,DH-2450,LE,5,1,0
748591,MM-0912,LT,3,1,0
748596,RW-3850,LE,6,1,0
748604,DM-4300,LT,5,1,0
748605,DM-4300,MD,-2,0,0
748609,RW-3850,RE,11,1,0
748612,RW-3850,MD,0,0,0
748618,RW-3850,MD,3,1,0
748623,DH-2450,LT,4,1,0
748624,DH-2450,MD,2,0,0
748625,DH-2450,RT,1,0,0
748627,MM-0912,NL,-1,0,1
748629,JH-4025,MD,1,0,0
748631,JH-4025,LE,2,0,0
748635,JM-5275,LE,20,1,0
748636,JM-5275,RE,3,0,0
748637,JM-5275,RE,-1,0,0
748643,TM-3150,LE,7,1,0
748651,JM-5275,RE,1,0,0
748653,JM-5275,RE,1,0,0
748654,JM-5275,RT,1,0,0
748657,TM-3150,RG,0,0,0
748661,JM-5275,LE,-6,0,0
748664,GB-0350,RT,25,1,0
748665,JH-4025,MD,8,1,0
