uid,gid,player,solo,comb,sck,saf,blk,ints,pdef,frcv,forc,tdd,rety,tdret,peny,snp,fp,fp2,game,seas,year,team,posd,jnum,dcp,nflid
145393,4530,TC-0385,6,0,0,0,0,0,1,0,0,0,0,0,0,59,7,0,15,4,2017,OAK,RCB,38,2,2550164
145394,4530,DM-1537,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,3,2017,OAK,LCB,23,3,2553234
145395,4530,KM-0050,3,0,0,0,0,0,1,0,0,0,0,0,0,64,4,0,18,4,2017,OAK,LDE,52,1,2543463
145396,4530,DA-0950,2,0,0,0,0,0,0,0,0,0,0,0,0,64,2,0,17,5,2017,OAK,LCB,29,1,2540170
145397,4530,SW-1750,0,2,0,0,0,0,0,0,0,0,0,0,0,14,1,0,17,5,2017,TEN,NT,96,1,2539270
145398,4530,WW-0900,5,3,1,0,0,0,0,0,0,0,0,0,0,50,8.5,1,17,10,2017,TEN,LILB,59,1,2354
145399,4530,JB-6837,3,1,0,0,0,0,0,0,0,0,0,0,0,37,3.5,0,1,1,2017,TEN,LILB,55,3,2558005
145400,4530,JC-6400,4,3,0,0,0,0,0,0,0,0,0,0,0,55,5.5,0,17,5,2017,TEN,SS,37,1,2539223
145401,4530,KK-1000,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,15,7,2017,TEN,DT,97,2,2495300
145402,4530,TS-2650,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,2017,TEN,LCB,33,3,2552449
145403,4530,DM-3600,2,1,1,0,0,0,0,0,0,0,0,0,0,57,4.5,1,16,8,2017,TEN,LOLB,91,1,496828
145404,4530,BO-0400,1,0,0,0,0,0,1,0,0,0,0,0,0,52,2,0,17,9,2017,TEN,ROLB,98,1,71423
145405,4530,CJ-0675,1,3,0,0,0,0,0,0,0,0,0,0,0,60,2.5,0,13,2,2017,OAK,WLB,57,1,2555303
145406,4530,TA-0250,4,3,0,0,0,0,0,0,0,0,0,0,0,41,5.5,0,1,3,2017,OAK,MLB,58,2,2553898
145407,4530,RN-0300,5,3,0,0,0,0,1,0,0,0,0,0,0,64,7.5,0,18,11,2017,OAK,FS,27,1,2507167
145408,4530,DJ-2250,1,2,0,0,0,0,0,0,0,0,0,0,0,34,2,0,17,4,2017,TEN,LDE,90,1,2543504
145409,4530,AW-1450,4,2,0,0,0,0,0,0,0,0,0,0,0,43,5,0,17,4,2017,TEN,RILB,54,1,2543597
145410,4530,EW-0100,2,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,17,10,2017,TEN,ROLB,58,2,2507488
145411,4530,BM-0800,1,0,0,0,0,0,0,0,0,0,0,0,0,56,1,0,17,9,2017,TEN,LCB,23,2,238466
145412,4530,EV-0200,1,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,1,1,2017,OAK,LDT,94,1,2557982
145413,4530,SS-1700,2,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,17,9,2017,OAK,RCB,21,1,2507783
145414,4530,DS-1400,2,1,0,0,0,0,0,0,0,0,0,0,0,11,2.5,0,15,7,2017,TEN,SS,21,2,2495339
145415,4530,ML-0662,2,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,1,1,2017,OAK,MLB,55,1,2557972
145416,4530,XW-0300,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,2017,OAK,SLB,56,2,2559042
145417,4530,LR-0600,1,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0,20,5,2017,TEN,LCB,26,1,2540162
145418,4530,BT-0950,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,3,5,2017,TEN,FS,41,3,2541756
145419,4530,NM-0675,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,2017,OAK,WLB,35,2,2559054
145420,4530,DB-0975,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,5,2017,TEN,LILB,53,2,2541539
145421,4530,AJ-1137,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0.5,0,10,2,2017,TEN,NT,94,2,2556368
145422,4530,DA-2050,0,1,0,0,0,0,0,0,0,0,0,0,0,31,0.5,0,18,4,2017,OAK,RDE,96,2,2550646
145423,4531,BB-2725,1,1,0,0,0,0,1,0,0,0,59,0,0,63,2.5,0,15,4,2017,WAS,LCB,26,1,2543571
145424,4531,BG-1200,3,1,2,0,0,0,0,0,1,0,0,0,0,43,9.5,2,17,8,2017,PHI,LDE,55,1,496788
145425,4531,JH-3675,3,4,0,0,0,0,0,1,0,0,0,0,0,60,7,2,17,3,2017,PHI,MLB,58,1,2552315
145426,4531,JM-4850,7,2,0,0,0,1,1,0,0,0,0,0,0,63,11,2,17,2,2017,PHI,LCB,31,1,2555383
145427,4531,TJ-1025,1,1,1,0,0,0,0,0,0,0,0,0,0,40,3.5,1,17,4,2017,PHI,RDT,93,1,2543461
145428,4531,NB-0500,2,2,0,0,0,0,1,0,0,0,0,0,5,63,4,0,17,6,2017,PHI,OLB,53,1,2532800
145429,4531,JN-1750,2,1,0,0,0,0,3,0,0,0,0,0,0,63,5.5,0,17,6,2017,WAS,RCB,24,1,2532920
145430,4531,PS-0550,4,0,1,0,0,0,0,0,0,0,0,0,0,52,6,1,17,3,2017,WAS,SLB,94,1,2552276
145431,4531,RM-3050,2,1,0,0,0,0,0,0,0,0,0,0,0,63,2.5,0,17,6,2017,PHI,S,23,1,2534832
145432,4531,VC-0400,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0.5,0,17,6,2017,PHI,RDE,75,1,2532825
145433,4531,MJ-0600,3,1,0,0,0,0,1,0,0,0,0,0,0,63,4.5,0,17,9,2017,PHI,S,27,1,79848
145434,4531,FC-0400,1,0,1,0,0,0,0,1,1,1,0,0,5,43,13,9,17,6,2017,PHI,LDT,91,1,2533051
145435,4531,MF-1400,5,4,0,0,0,0,0,1,0,0,0,0,0,63,9,2,17,7,2017,WAS,MLB,54,1,2495281
145436,4531,KF-0450,4,1,0,0,0,0,1,0,0,0,0,0,0,42,5.5,0,12,2,2017,WAS,RCB,29,2,2555349
145437,4531,TM-1400,1,1,0,0,0,0,0,0,0,0,0,0,0,28,1.5,0,17,7,2017,WAS,DE,97,2,2495311
145438,4531,RD-0050,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,14,3,2017,PHI,RCB,41,1,2552689
145439,4531,ZB-0400,5,7,0,0,0,0,0,0,0,0,0,0,0,63,8.5,0,17,6,2017,WAS,MLB,53,1,2532804
145440,4531,DE-1300,2,5,0,0,0,0,0,0,0,0,0,0,0,63,4.5,0,4,3,2017,WAS,SS,22,1,2553710
145441,4531,JA-1062,2,2,0,0,0,0,0,0,0,0,0,0,0,42,3,0,1,1,2017,WAS,DE,95,1,2557844
145442,4531,DS-5150,5,0,0,0,0,0,1,0,0,0,0,0,0,63,6,0,17,5,2017,WAS,FS,36,1,2539943
145443,4531,MK-0730,1,2,0,0,0,0,0,0,0,0,0,0,0,23,2,0,16,6,2017,PHI,OLB,95,1,2532890
145444,4531,DB-0875,0,2,0,0,0,0,0,0,0,0,0,0,0,26,1,0,1,1,2017,PHI,RDE,96,2,2557984
145445,4531,PR-0400,4,0,0,0,0,0,0,0,0,0,0,0,0,52,4,0,8,8,2017,PHI,RCB,21,2,2508084
145446,4531,RK-0500,2,1,0.5,0,0,1,0,0,0,1,0,0,0,57,11.5,8.5,16,7,2017,WAS,WLB,91,1,2495190
145447,4531,SM-1650,1,0,0,0,0,0,1,0,0,0,0,0,0,31,2,0,11,5,2017,WAS,NT,92,2,2539285
145448,4531,MI-0175,0,1,0.5,0,0,0,0,0,0,0,0,0,0,33,1.5,0.5,9,2,2017,WAS,DE,98,2,2555240
145449,4531,CG-1700,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1.5,0,17,11,2017,PHI,S,24,2,2495613
145450,4531,DV-0050,0,2,0,0,0,0,0,0,0,0,0,0,0,12,1,0,17,2,2017,PHI,LDT,97,2,2556786
145451,4531,RA-1175,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,1,1,2017,WAS,SLB,52,2,2557853
145452,4531,JW-0950,3,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,16,4,2017,PHI,S,26,2,2543707
145453,4531,CL-1400,1,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,20,10,2017,PHI,LDE,56,2,276
145454,4531,JW-0525,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,2,2017,PHI,MLB,59,2,2556192
145455,4532,AC-1350,4,2,2,0,0,0,0,0,0,1,0,0,0,60,15,8,14,3,2017,PIT,LOLB,56,2,2552266
145456,4532,ST-1150,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,18,4,2017,PIT,RDE,91,1,2543483
145457,4532,LW-0250,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0.5,0,13,3,2017,PIT,LDE,96,2,2552444
145458,4532,WG-0500,4,1,0,0,0,0,1,0,0,0,0,0,15,26,5.5,0,20,11,2017,PIT,RCB,22,2,2507220
145459,4532,TM-0825,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,3,2,2017,PIT,RILB,44,2,2555171
145460,4532,VW-0250,4,1,0,0,0,0,0,0,0,0,0,0,0,55,4.5,0,13,5,2017,PIT,RILB,98,1,2540221
145461,4532,JH-1375,3,0,1,0,0,0,0,0,0,0,0,0,0,25,5,1,19,2,2017,PIT,NT,79,1,2555239
145462,4532,TA-0600,2,3,0,0,0,0,0,0,0,0,0,0,0,54,3.5,0,15,8,2017,PIT,RDE,94,2,496760
145463,4532,AB-3875,2,1,0,0,0,0,0,0,0,0,0,0,5,60,2.5,0,20,2,2017,PIT,RCB,25,1,2555344
145464,4532,CH-3100,1,2,1,0,0,0,0,0,0,0,0,0,0,52,4,1,8,7,2017,PIT,LDE,97,1,2508109
145465,4532,TC-2150,1,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,1,2,2017,CLE,DT,93,1,2556504
145466,4532,JT-0850,3,3,0,0,0,0,0,0,0,0,0,0,41,60,4.5,0,16,5,2017,CLE,RCB,21,1,2539932
145467,4532,DK-0625,2,1,0,0,0,1,1,0,0,0,0,0,0,40,5.5,2,13,2,2017,CLE,S,30,1,2555540
145468,4532,SD-0250,3,0,0,0,0,0,0,0,0,0,0,0,21,60,3,0,18,2,2017,PIT,SS,28,1,2555386
145469,4532,RS-0962,4,3,0,0,0,0,0,0,0,0,0,0,15,60,5.5,0,17,4,2017,PIT,LILB,50,1,2543486
145470,4532,JH-0100,4,2,1,0,0,0,1,0,0,0,0,0,0,60,8,1,14,8,2017,PIT,LCB,21,1,496733
145471,4532,MH-2975,2,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,1,2,2017,PIT,LCB,40,3,2556559
145472,4532,JS-1025,4,5,0,0,0,0,0,0,0,0,0,0,0,60,6.5,0,13,2,2017,CLE,MLB,53,1,2555166
145473,4532,JP-1975,4,0,0,0,0,0,1,0,0,0,48,0,0,60,5,0,1,1,2017,CLE,S,22,1,2557980
145474,4532,JB-7650,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1,0,1,2,2017,CLE,SLB,52,2,2556489
145475,4532,LO-0050,2,2,0,0,0,0,0,0,0,0,0,0,0,17,3,0,1,1,2017,CLE,DT,65,2,2557836
145476,4532,JM-3950,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,17,4,2017,CLE,DT,98,1,2550230
145477,4532,JC-3550,2,2,0,0,0,0,0,0,1,0,0,0,0,59,5,0,16,5,2017,CLE,SLB,51,1,2539311
145478,4532,BB-2231,1,2,0,0,0,0,1,0,0,0,0,0,0,47,3,0,14,2,2017,CLE,RCB,20,2,2556475
145479,4532,CK-0850,2,3,0,0,0,0,0,0,0,0,0,0,0,60,3.5,0,17,4,2017,CLE,WLB,58,1,2543720
145480,4532,TW-1137,5,1,2,0,0,1,0,0,0,0,0,0,15,60,11.5,4,1,1,2017,PIT,ROLB,90,1,2558064
145481,4532,CN-0250,1,1,1,0,0,0,0,0,0,0,0,0,0,42,3.5,1,15,2,2017,CLE,DE,94,2,2555270
145482,4532,EO-0075,1,0,0,0,0,0,1,0,0,0,0,0,0,42,2,0,17,2,2017,CLE,DE,90,1,2555278
145483,4532,DS-1850,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,17,3,2017,CLE,DT,55,3,2552325
145484,4532,JM-2800,2,1,0,0,0,0,0,0,0,0,0,0,0,60,2.5,0,15,9,2017,CLE,LCB,35,1,89756
145485,4532,MM-3800,1,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0,20,9,2017,PIT,FS,23,1,238227
145486,4532,JW-3050,1,1,0,0,0,0,0,0,0,0,0,0,15,20,1.5,0,15,5,2017,PIT,FS,27,2,2540219
145487,4533,HA-0400,1,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,1,3,2017,IND,LDE,96,1,2552272
145488,4533,RM-3850,6,0,0,0,0,0,0,0,0,0,0,0,0,48,6,0,1,5,2017,IND,LCB,30,1,2541200
145489,4533,MB-3650,3,2,0,0,0,0,0,0,0,0,0,0,0,32,4,0,1,6,2017,LA,NT,90,1,2533050
145490,4533,MA-0450,0,2,0,0,0,0,0,0,0,0,0,0,0,33,1,0,1,4,2017,LA,SS,31,1,2550145
145491,4533,TW-0160,2,0,1,0,0,0,0,0,0,0,0,0,0,25,4,1,1,6,2017,LA,NT,73,2,2535892
145492,4533,TJ-2250,2,0,0,0,0,1,0,1,1,1,0,0,0,35,14,10,1,6,2017,LA,LCB,22,1,2532877
145493,4533,MB-0650,1,0,0,0,0,0,0,0,0,0,0,0,5,41,1,0,1,6,2017,LA,ILB,26,1,2532789
145494,4533,EW-0550,1,2,1,0,0,0,0,0,0,0,0,0,0,32,4,1,1,4,2017,LA,LDE,93,1,2550449
145495,4533,CB-0800,1,1,0,0,0,0,0,0,0,0,0,0,0,36,1.5,0,1,9,2017,LA,OLB,98,1,71197
145496,4533,AO-0250,3,1,0,0,0,0,1,0,0,0,0,0,0,41,4.5,0,1,5,2017,LA,ILB,52,1,2540143
145497,4533,LJ-1800,4,0,0,0,0,1,1,0,0,1,0,0,0,35,13,8,1,4,2017,LA,FS,20,1,2543492
145498,4533,AW-1900,2,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,1,8,2017,IND,NT,97,1,496881
145499,4533,JH-0840,2,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,1,5,2017,IND,DT,95,1,2540147
145500,4533,DB-6100,3,0,0,0,0,0,0,0,1,0,0,0,0,50,5,0,1,9,2017,IND,FS,20,1,79897
145501,4533,JB-4550,5,2,0,0,0,0,0,0,0,0,0,0,0,50,6,0,1,5,2017,IND,ILB,57,1,2539978
145502,4533,CM-2425,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,2017,IND,LCB,40,3,2556394
145503,4533,TG-1575,3,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,1,2,2017,IND,SS,32,2,2555537
145504,4533,TS-1950,2,0,0,0,0,0,1,0,0,0,0,0,0,29,3,0,1,1,2017,LA,DT,92,1,2558199
145505,4533,MF-0150,8,2,0,0,0,0,0,0,0,0,0,0,0,46,9,0,1,2,2017,IND,SS,41,1,2556429
145506,4533,RQ-0200,2,0,1,0,0,0,0,0,0,0,0,0,0,25,4,1,1,7,2017,LA,OLB,94,1,2495485
145507,4533,MH-3250,2,1,0,0,0,0,0,0,0,0,0,0,0,30,2.5,0,1,1,2017,IND,FS,29,2,2558060
145508,4533,NH-0075,1,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,1,1,2017,IND,RCB,27,2,2558108
145509,4533,KW-0850,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,5,2017,LA,RCB,21,1,2540291
145510,4533,JG-1050,2,0,0,0,0,0,0,1,0,0,0,0,0,8,4,2,1,4,2017,IND,ILB,59,2,2543594
145511,4533,JS-3250,4,1,0,0,0,0,0,0,0,0,0,0,0,50,4.5,0,1,5,2017,IND,SLB,51,1,2539280
145512,4533,HR-0100,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,1,2,2017,IND,DT,91,2,2555514
145513,4533,JS-2100,1,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,1,7,2017,IND,OLB,93,1,2495228
145514,4533,DH-1925,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,1,2017,LA,RCB,36,2,2559356
145515,4533,ML-2325,1,0,1,0,0,0,0,0,0,0,0,0,0,26,3,1,1,3,2017,LA,OLB,96,2,2553722
145516,4533,MH-3750,2,0,1,0,0,0,0,0,0,0,0,0,4,20,4,1,1,5,2017,IND,LDE,94,2,2539310
145517,4533,MF-1525,1,0,0,1,0,0,0,0,0,0,0,0,0,16,3,2,1,2,2017,LA,LDE,97,2,2556529
145518,4533,BC-2575,2,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,1,2,2017,LA,SS,24,2,2556374
145519,4533,NR-0350,1,1,0,0,0,0,1,0,0,0,0,0,0,32,2.5,0,1,5,2017,LA,LCB,23,2,2540197
145520,4533,CL-0987,2,0,0,0,0,0,0,0,1,0,0,0,10,9,4,0,1,2,2017,LA,ILB,58,2,2556593
145521,4533,AM-2950,3,1,0,0,0,0,0,0,0,0,0,0,0,50,3.5,0,1,2,2017,IND,ILB,44,1,2555160
145522,4533,JJ-3450,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,1,2017,LA,SS,43,3,2558183
145523,4533,SE-0025,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,1,1,2017,LA,OLB,50,2,2558830
145524,4533,BH-0050,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0.5,0,1,3,2017,LA,ILB,54,2,2552307
145525,4533,BM-2850,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0.5,0,1,5,2017,IND,SLB,52,2,2540140
145526,4533,QW-0300,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,1,1,2017,IND,LCB,31,2,2557961
145527,4534,AA-0562,3,0,0,0,0,0,0,0,0,0,0,0,0,51,3,0,1,3,2017,SF,LDE,91,1,2552493
145528,4534,RF-1050,3,0,0,0,0,0,1,0,0,0,0,0,0,11,4,0,1,1,2017,SF,WILL,56,1,2557837
145529,4534,ST-0525,2,0,0,0,0,0,0,0,0,0,0,0,5,43,2,0,1,1,2017,SF,RDE,94,2,2558018
145530,4534,EM-1200,1,1,0,0,0,0,1,0,0,0,0,0,0,38,2.5,0,1,8,2017,SF,NT,90,1,496822
145531,4534,TC-0370,1,1,0,0,0,0,0,0,0,0,0,0,0,31,1.5,0,1,5,2017,SF,RDE,95,1,2539224
145532,4534,KC-1800,6,0,0,0,0,0,0,0,0,0,0,0,0,57,6,0,1,8,2017,CAR,FS,20,1,494261
145533,4534,LK-0600,5,2,0,0,0,1,0,0,0,0,0,0,0,57,8,2,1,6,2017,CAR,MLB,59,1,2533056
145534,4534,MA-0200,4,0,0,0,0,0,0,0,0,0,0,0,0,57,4,0,1,14,2017,CAR,SS,29,1,2505708
145535,4534,ST-0550,2,0,1,0,0,0,0,0,0,0,0,0,0,25,4,1,1,3,2017,CAR,SLB,54,1,2552447
145536,4534,JT-0650,7,0,0,0,0,1,0,0,0,0,0,0,15,57,9,2,1,3,2017,SF,SS,29,2,2552391
145537,4534,DW-4750,4,0,0,0,0,0,2,0,0,0,0,0,0,56,6,0,1,2,2017,CAR,RCB,26,1,2555394
145538,4534,KL-1400,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,8,2017,CAR,LDT,93,2,2507837
145539,4534,WH-0850,1,1,1,0,0,0,0,0,1,0,0,0,0,23,5.5,1,1,5,2017,CAR,RDE,96,2,2539306
145540,4534,SL-0950,1,2,0.5,0,0,0,0,1,0,0,0,0,0,45,5,2.5,1,5,2017,CAR,LDT,98,1,2539329
145541,4534,KS-0850,1,1,0,0,0,0,0,0,0,0,0,0,0,47,1.5,0,1,5,2017,CAR,RDT,99,1,2539296
145542,4534,JC-1750,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,2,2017,CAR,WLB,57,2,2556846
145543,4534,NB-0400,3,2,0,0,0,0,0,0,0,0,0,0,0,57,4,0,1,8,2017,SF,MIKE,53,1,2508088
145544,4534,RA-1350,4,2,0,0,0,0,0,0,0,0,0,0,19,45,5,0,1,5,2017,SF,WILL,54,2,2541792
145545,4534,JP-2000,0,1,0.5,0,0,0,0,0,0,0,0,0,0,26,1.5,0.5,1,16,2017,CAR,LDE,90,2,2505010
145546,4534,TD-0700,7,0,1,0,0,0,0,0,0,0,0,0,0,57,9,1,1,13,2017,CAR,WLB,58,1,2506352
145547,4534,BJ-0500,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,7,2017,CAR,SLB,53,3,2531080
145548,4534,RR-0925,2,2,0,0,0,0,0,1,1,0,0,0,0,57,7,2,1,2,2017,SF,LCB,33,1,2555546
145549,4534,DB-5475,4,2,0,0,0,0,0,0,0,0,0,0,0,53,5,0,1,2,2017,SF,DT,99,1,2555275
145550,4534,JB-4975,5,1,0,0,0,0,0,0,0,0,0,0,0,56,5.5,0,1,2,2017,CAR,LCB,24,1,2555175
145551,4534,MA-0300,2,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,1,7,2017,CAR,RDE,97,1,2530474
145552,4534,DJ-1750,2,0,0,0,0,0,0,0,0,0,0,0,0,57,2,0,1,4,2017,SF,RCB,36,1,2543739
145553,4534,ER-0150,2,3,0,0,0,0,0,0,0,0,0,0,0,57,3.5,0,1,5,2017,SF,SS,35,1,2540152
145554,4534,DJ-2150,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,1,1,2017,SF,NT,93,2,2558265
145555,4534,EH-0150,2,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,1,3,2017,SF,SAM,57,1,2552494
145556,4534,CJ-1300,0,0,0,0,0,0,0,0,0,0,0,0,5,28,0,0,1,11,2017,CAR,LDE,95,1,2507187
145557,4534,XC-0100,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,3,2017,SF,DT,96,2,2552611
145558,4534,KW-1550,1,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,1,4,2017,SF,NB,24,1,2550654
145559,4534,DW-1700,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0.5,0,1,8,2017,SF,SAM,97,2,496961
145560,4535,DH-4000,1,2,0,0,0,0,0,0,0,0,0,0,0,49,2,0,1,7,2017,GB,LCB,31,1,2495170
145561,4535,MB-5100,2,2,0,0,0,0,1,0,0,0,0,0,0,49,4,0,1,8,2017,GB,SS,42,1,496727
145562,4535,NP-0130,1,2,1.5,0,0,0,0,0,0,0,0,0,5,42,5,1.5,1,6,2017,GB,ROLB,53,1,2533048
145563,4535,JL-0230,1,0,0,0,0,0,0,0,0,0,0,0,5,8,1,0,1,6,2017,SEA,RCB,20,1,2534834
145564,4535,BW-0150,3,6,0,0,0,0,1,0,0,0,0,0,0,49,7,0,1,6,2017,SEA,MLB,54,1,2532966
145565,4535,ET-0200,7,4,0,0,0,0,1,0,0,0,0,0,0,49,10,0,1,8,2017,SEA,FS,29,1,2508080
145566,4535,SG-1600,10,0,0,0,0,0,1,0,0,0,0,0,5,49,11,0,1,1,2017,SEA,RCB,26,2,2558259
145567,4535,NJ-0500,0,1,0,0,0,1,0,0,0,0,0,0,0,24,2.5,2,1,1,2017,SEA,RDT,92,2,2557964
145568,4535,CA-1300,1,0,1,0,0,0,0,0,0,0,0,0,10,49,3,1,1,10,2017,SEA,RDE,56,1,1330
145569,4535,QR-0100,3,5,0,0,0,0,1,0,0,0,0,0,0,46,6.5,0,1,3,2017,GB,RCB,24,1,2552263
145570,4535,DR-0450,5,1,0,0,0,0,1,0,0,0,0,0,0,40,6.5,0,1,3,2017,GB,RCB,23,2,2552389
145571,4535,MD-0060,4,3,1.5,0,0,0,0,0,1,0,0,0,0,38,10.5,1.5,1,6,2017,GB,DT,76,1,2532826
145572,4535,KC-1225,1,0,0,0,0,0,1,0,0,0,0,0,0,37,2,0,1,2,2017,GB,NT,97,1,2555282
145573,4535,KW-2500,6,3,0,0,0,0,0,0,0,0,0,0,0,49,7.5,0,1,7,2017,SEA,ROLB,50,1,2495252
145574,4535,SR-0670,3,1,0,0,0,0,0,0,0,0,0,0,0,49,3.5,0,1,5,2017,SEA,LDT,91,1,2540142
145575,4535,RS-1000,2,0,0,0,0,0,0,0,0,0,0,0,0,49,2,0,1,7,2017,SEA,LCB,25,1,2495507
145576,4535,TG-0350,1,2,1,0,0,0,0,0,0,0,0,0,0,31,4,1,1,5,2017,SEA,LOLB,52,1,2541777
145577,4535,JR-3650,1,1,0,0,0,0,0,0,0,0,0,0,0,5,1.5,0,1,3,2017,GB,LILB,47,1,2552314
145578,4535,BM-0345,0,2,0,0,0,0,0,0,0,0,0,0,0,42,1,0,1,2,2017,GB,MLB,50,1,2555161
145579,4535,MB-1900,2,1,1.5,0,0,0,0,0,0,0,0,0,10,49,5.5,1.5,1,9,2017,SEA,LDE,72,1,2507617
145580,4535,ME-0550,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,2017,GB,SS,25,3,2556800
145581,4535,CM-0900,1,1,0,0,0,0,0,0,0,0,0,0,0,43,1.5,0,1,9,2017,GB,LOLB,52,1,80431
145582,4535,JR-1025,2,1,0,0,0,0,0,0,0,0,0,0,0,48,2.5,0,1,2,2017,SEA,RDT,90,1,2555238
145583,4535,AB-3100,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0,1,12,2017,GB,LOLB,55,3,2507010
145584,4535,FC-0150,0,1,0.5,0,0,0,0,0,0,0,0,0,0,45,1.5,0.5,1,3,2017,SEA,RDE,55,2,2552629
145585,4535,KC-0900,3,1,0,0,0,0,0,0,0,0,0,0,0,49,3.5,0,1,8,2017,SEA,SS,31,1,494257
145586,4535,HC-0050,3,1,0,0,0,0,1,0,0,0,0,0,0,49,4.5,0,1,4,2017,GB,FS,21,1,543470
145587,4535,DB-0950,0,1,0,0,0,0,0,0,0,0,0,0,5,19,0.5,0,1,5,2017,SEA,LDE,47,2,2540277
145588,4535,KF-0050,0,0,0,0,0,0,0,1,0,0,0,0,0,12,2,2,1,2,2017,GB,ROLB,51,2,2555340
145589,4535,KB-1825,2,1,0,0,0,0,0,0,0,0,0,0,0,47,2.5,0,1,2,2017,GB,FS,29,2,2556480
145590,4535,JJ-4582,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,2017,GB,SS,27,2,2558119
145591,4535,JC-3518,2,0,0,0,0,0,1,0,0,0,0,0,0,41,3,0,1,3,2017,SEA,RCB,28,3,2553637
145592,4536,JC-1800,3,2,0,0,0,0,0,0,0,0,0,0,0,57,4,0,1,9,2017,NYG,WLB,52,1,71249
145593,4536,DH-1850,2,3,0,0,0,0,1,0,0,0,0,0,0,47,4.5,0,1,6,2017,NYG,LDT,98,1,2535718
145594,4536,DT-1725,1,3,0,0,0,0,0,0,0,0,0,0,0,44,2.5,0,1,1,2017,NYG,RDT,94,2,2557846
145595,4536,LC-0850,3,2,0,0,0,0,1,0,0,0,0,0,0,57,5,0,1,3,2017,NYG,SS,21,1,2552454
145596,4536,BG-0850,13,5,0,0,0,0,0,0,0,0,0,0,0,57,15.5,0,1,2,2017,NYG,MLB,93,1,2555522
145597,4536,DL-0450,4,1,2,0,0,0,0,0,0,0,0,0,0,35,8.5,2,1,4,2017,DAL,LDE,90,1,2543490
145598,4536,SL-0500,7,1,0,0,0,0,0,0,0,0,0,0,0,57,7.5,0,1,8,2017,DAL,WLB,50,1,496937
145599,4536,DR-2800,1,4,0,0,0,0,0,0,0,0,0,0,0,52,3,0,1,10,2017,NYG,NB,41,1,306
