uid,gid,player,solo,comb,sck,saf,blk,ints,pdef,frcv,forc,tdd,rety,tdret,peny,snp,fp,fp2,game,seas,year,team,posd,jnum,dcp,nflid
145231,4525,AB-1500,4,1,0,0,0,0,1,0,0,0,0,0,0,60,5.5,0,17,12,2017,ARI,SS,41,1,2495807
145232,4525,JD-0650,9,0,0,0,0,0,0,1,0,0,0,0,28,71,11,2,1,1,2017,DET,MLB,40,1,2557855
145233,4525,AS-3050,1,1,0,0,0,0,0,0,0,0,0,0,0,35,1.5,0,17,5,2017,DET,LDT,97,2,2540201
145234,4525,CW-0850,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0.5,0,16,5,2017,DET,LDE,90,1,2539232
145235,4525,TW-1750,2,3,0,0,0,0,0,0,0,0,0,0,0,51,3.5,0,17,6,2017,DET,OLB,59,1,2532986
145236,4525,JA-0425,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,1,1,2017,DET,LCB,39,3,2558821
145237,4525,CJ-2050,3,0,1,0,0,0,0,0,0,0,0,0,0,71,5,1,17,6,2017,ARI,SAM,55,1,2533538
145238,4525,JL-0750,0,2,0,0,0,0,0,0,0,0,0,0,0,33,1,0,1,1,2017,DET,RDT,98,2,2558124
145239,4525,MK-0752,2,0,0,0,0,1,1,0,0,1,0,0,0,29,11,8,15,2,2017,DET,SS,35,2,2555315
145240,4525,TM-0850,2,1,0,0,0,0,0,0,0,0,0,0,0,71,2.5,0,11,5,2017,ARI,FS,32,1,2540180
145241,4525,JB-8700,4,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,11,7,2017,ARI,RILB,45,2,2530491
145242,4525,TB-2400,9,1,0,0,0,0,2,0,0,0,0,0,0,71,11.5,0,7,10,2017,ARI,SS,27,2,1681
145243,4525,HN-0300,0,0,0,0,0,0,1,0,0,0,0,0,0,40,1,0,15,12,2017,DET,RDT,92,1,2506879
145244,4525,JM-1650,3,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,16,4,2017,ARI,LDE,97,1,2550437
145245,4525,FR-0200,2,1,0,0,0,0,0,0,0,0,0,0,0,43,2.5,0,14,12,2017,ARI,RDT,92,1,2506908
145246,4525,PP-0400,0,1,0,0,0,0,1,0,0,0,0,0,0,71,1.5,0,17,7,2017,ARI,LCB,21,1,2495504
145247,4525,CP-1300,2,0,0,0,0,0,0,0,0,0,0,0,5,43,2,0,16,8,2017,ARI,NT,98,1,496841
145248,4525,XW-0100,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,9,3,2017,ARI,LDE,94,3,2553764
145249,4525,DH-2150,3,0,0,0,0,0,0,0,0,0,0,0,0,41,3,0,12,5,2017,DET,LCB,31,2,2539237
145250,4525,AR-1115,3,0,0,0,0,0,0,0,1,0,0,0,0,39,5,0,18,2,2017,DET,LDT,91,1,2555265
145251,4525,DS-2250,1,0,0,0,0,0,1,0,0,0,0,0,0,71,2,0,15,5,2017,DET,LCB,23,1,2540288
145252,4525,MG-0925,1,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0,17,3,2017,ARI,WLB,44,1,2552273
145253,4525,JV-0025,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0.5,0,1,1,2017,DET,LDE,78,2,2559310
145254,4525,PW-1400,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,0,9,5,2017,DET,OLB,58,1,2541535
145255,4526,KI-0150,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,5,2017,ATL,WLB,36,3,2541431
145256,4526,JF-3060,7,3,0,0,0,0,0,0,0,0,0,0,0,56,8.5,0,13,10,2017,CHI,LILB,50,1,2514414
145257,4526,KF-0500,5,1,0,0,0,0,1,0,0,0,0,0,0,58,6.5,0,1,4,2017,CHI,RCB,23,2,2543681
145258,4526,MC-2570,4,0,0,0,0,0,1,0,0,0,0,0,5,59,5,0,15,5,2017,CHI,RCB,31,1,2541202
145259,4526,QD-0100,3,0,0,0,0,0,0,0,0,0,0,0,0,59,3,0,15,10,2017,CHI,SS,21,1,1974
145260,4526,WY-0300,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,17,8,2017,CHI,LOLB,97,1,2508063
145261,4526,LF-0450,3,1,0,0,0,0,1,0,0,0,0,0,0,55,4.5,0,13,2,2017,CHI,ROLB,94,1,2555285
145262,4526,MU-0500,1,2,0,0,0,0,0,0,0,0,0,0,0,31,2,0,14,8,2017,CHI,DE,98,1,2508016
145263,4526,DC-0325,4,2,0,0,0,0,1,0,0,0,0,0,0,47,6,0,15,2,2017,ATL,WLB,59,1,2555255
145264,4526,DR-1750,3,2,0,0,0,0,0,0,0,0,0,0,0,49,4,0,1,1,2017,ATL,WLB,42,2,2557967
145265,4526,KN-0125,4,1,0,0,0,0,0,0,0,0,0,0,0,59,4.5,0,18,2,2017,ATL,FS,22,1,2555543
145266,4526,BP-1050,6,1,1,0,0,0,0,0,0,0,0,0,0,36,8.5,1,20,2,2017,ATL,RCB,34,2,2556445
145267,4526,DT-1950,2,0,0,0,0,0,0,0,0,0,0,0,0,42,2,0,10,6,2017,CHI,RILB,59,1,2532961
145268,4526,RA-0675,3,0,0,0,0,0,0,0,0,0,0,0,0,59,3,0,20,4,2017,ATL,SS,37,1,2543850
145269,4526,DJ-2450,6,1,0,0,0,0,0,0,0,0,0,0,15,59,6.5,0,19,2,2017,ATL,MLB,45,1,2555162
145270,4526,RA-0650,3,0,0,0,0,0,3,0,0,0,0,0,10,59,6,0,20,5,2017,ATL,LCB,23,1,2539653
145271,4526,VB-0075,2,0,1,0,0,0,0,0,0,0,0,0,5,27,4,1,20,3,2017,ATL,SLB,44,1,2552301
145272,4526,SA-0100,2,1,0,0,0,0,0,0,0,0,0,0,0,40,2.5,0,17,7,2017,CHI,ROLB,93,2,2495101
145273,4526,RR-0850,0,0,0,0,0,0,1,1,0,0,0,0,0,18,3,2,1,2,2017,CHI,DE,74,2,2556665
145274,4526,CG-1450,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,11,4,2017,ATL,LCB,29,2,2550767
145275,4526,BR-0200,5,0,2,0,0,0,0,0,0,0,0,0,0,32,9,2,19,7,2017,ATL,LDE,50,1,2495218
145276,4526,EJ-0125,3,0,0,0,0,0,0,0,0,0,0,0,0,59,3,0,1,1,2017,CHI,FS,39,2,2558176
145277,4526,EG-0350,1,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,7,3,2017,CHI,NT,91,1,2552489
145278,4526,AH-3050,3,0,2,0,0,0,0,0,0,0,0,0,15,49,7,2,17,6,2017,CHI,DE,96,1,2533433
145279,4526,DT-1970,4,0,0,0,0,0,0,0,0,0,0,0,0,59,4,0,10,5,2017,ATL,RCB,21,1,2539334
145280,4526,AC-1500,1,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,15,7,2017,ATL,LDE,99,2,2495140
145281,4526,DK-0362,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,1,2017,ATL,SS,27,3,2558184
145282,4526,NK-0800,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0.5,0,13,2,2017,CHI,RILB,44,2,2555288
145283,4526,BC-0150,1,1,0,0,0,0,0,0,0,0,0,0,0,31,1.5,0,12,3,2017,CHI,LCB,37,2,2553500
145284,4526,TM-2250,1,1,0,0,0,0,0,0,0,0,0,0,0,14,1.5,0,1,1,2017,ATL,LDE,98,3,2557872
145285,4527,CM-3250,5,3,0,0,0,1,0,0,0,0,0,0,15,61,8.5,2,15,4,2017,BAL,MLB,57,1,2543464
145286,4527,TJ-0950,5,4,1,0,0,0,0,0,0,0,0,0,0,61,9,1,15,5,2017,BAL,SS,23,1,2540164
145287,4527,TS-3500,5,1,2,0,0,0,1,0,1,0,0,0,0,49,12.5,2,16,15,2017,BAL,RUSH,55,1,2505660
145288,4527,ZS-0075,2,1,1,0,0,0,0,0,0,0,0,0,0,7,4.5,1,13,3,2017,BAL,RUSH,90,2,2552279
145289,4527,GA-0400,4,3,1,0,0,0,0,0,0,0,0,0,0,41,7.5,1,17,8,2017,CIN,RDT,97,1,496762
145290,4527,PS-0300,1,3,0,0,0,0,0,0,0,0,0,0,5,30,2.5,0,16,10,2017,CIN,NT,92,1,786
145291,4527,NV-0200,5,4,0,0,0,1,0,0,0,0,0,0,5,61,9,2,11,2,2017,CIN,SLB,59,1,2555528
145292,4527,VR-0200,6,5,0,0,0,0,0,0,0,0,0,0,0,51,8.5,0,16,8,2017,CIN,WLB,57,1,2507843
145293,4527,DK-0750,3,2,0,0,0,0,1,0,0,0,0,0,5,61,5,0,16,6,2017,CIN,LCB,27,1,2533060
145294,4527,KM-1950,4,6,0,0,0,0,0,0,0,0,0,0,0,38,7,0,17,5,2017,CIN,MLB,51,1,2540159
145295,4527,DD-0950,2,2,0,0,0,0,1,0,0,0,0,0,0,61,4,0,15,4,2017,CIN,RCB,21,1,2543474
145296,4527,GI-1300,1,2,0,0,0,0,0,0,0,0,0,0,0,58,2,0,17,6,2017,CIN,FS,43,1,2532869
145297,4527,WJ-0150,2,0,0,0,0,0,1,0,0,0,0,0,7,29,3,0,1,2,2017,CIN,RCB,22,2,2556367
145298,4527,MJ-1800,1,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,17,9,2017,CIN,RDE,90,1,2507784
145299,4527,BW-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,34,0.5,0,17,5,2017,BAL,DT,98,1,2541302
145300,4527,BC-0500,2,0,0,0,0,1,1,0,0,0,0,0,5,61,5,2,18,10,2017,BAL,LCB,24,1,4365
145301,4527,PO-0175,0,0,0,0,0,0,1,0,0,0,0,0,0,20,1,0,5,2,2017,BAL,WLB,48,2,2556642
145302,4527,EW-0400,1,1,0,0,0,0,0,0,0,0,0,0,0,60,1.5,0,17,11,2017,BAL,FS,32,1,2495775
145303,4527,KC-2325,3,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,6,2,2017,BAL,WLB,51,1,2555339
145304,4527,LW-0700,3,0,0,0,0,1,0,0,0,0,0,0,0,46,5,2,17,9,2017,BAL,FS,21,2,81879
145305,4527,BU-0150,1,0,0,0,0,0,0,0,0,0,0,0,5,51,1,0,16,4,2017,BAL,DE,96,1,2543765
145306,4527,MJ-2700,1,0,0,0,0,0,1,0,0,0,0,0,0,52,2,0,15,2,2017,BAL,SLB,99,1,2555505
145307,4527,JS-4300,3,0,0,0,0,1,0,0,0,0,0,0,0,54,5,2,12,7,2017,BAL,RCB,22,1,2508107
145308,4527,MP-1225,3,1,1,0,0,0,0,1,0,0,0,0,0,38,7.5,3,17,2,2017,BAL,NT,97,1,2556650
145309,4527,TB-2025,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,1,1,2017,BAL,SLB,54,2,2558166
145310,4527,AL-0650,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,9,8,2017,BAL,SS,41,2,2508004
