uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp,nflid
94391,4531,LB-0500,0,0,0,0,0,14,8,46,0,1,1,1,1,0,0,0,0,0,0,23,10.7,11.2,11.7,20,8,2017,PHI,RB,29,1,497149
94392,4531,WS-0650,0,0,0,0,0,4,1,4,0,1,1,5,0,0,0,0,0,15,0,15,0.9,1.4,1.9,14,2,2017,PHI,RB,28,3,2555461
94393,4531,JR-1150,0,0,0,0,0,0,0,0,0,8,5,36,0,0,0,0,0,10,0,55,3.6,6.1,8.6,13,5,2017,WAS,TE,86,1,2540160
94394,4531,ZE-0100,0,0,0,0,0,0,0,0,0,8,8,93,0,0,0,0,0,0,0,60,9.3,13.3,17.3,15,5,2017,PHI,TE,86,1,2540158
94395,4531,BC-0700,0,0,0,0,0,0,0,0,0,2,1,11,0,0,0,0,0,5,0,25,1.1,1.6,2.1,17,11,2017,PHI,TE,87,2,2507218
94396,4531,AJ-0430,0,0,0,0,0,0,0,0,0,7,3,38,0,0,0,0,0,0,1,60,5.8,7.3,8.8,13,6,2017,PHI,LWR,17,1,2533039
94397,4531,BQ-0050,0,0,0,0,0,0,0,0,0,1,1,11,0,0,0,0,0,0,0,6,1.1,1.6,2.1,17,6,2017,WAS,SWR,83,2,2532933
94398,4532,DK-0875,30,20,222,1,1,5,2,17,1,0,0,0,0,0,0,0,0,0,0,66,18.58,19.58,19.58,1,1,2017,CLE,QB,7,1,2557983
94399,4532,IC-0300,0,0,0,0,0,17,6,33,0,2,2,33,0,0,0,0,0,0,1,52,8.6,9.6,10.6,17,4,2017,CLE,RB,34,1,2550189
94400,4532,DN-1225,0,0,0,0,0,0,0,0,0,2,2,20,0,0,0,0,0,10,0,29,2,3,4,1,1,2017,CLE,TE,85,3,2557986
94401,4532,MD-0175,0,0,0,0,0,3,1,7,0,2,2,9,0,0,0,0,0,0,0,13,1.6,2.6,3.6,1,1,2017,CLE,RB,27,3,2557987
94402,4532,ER-0462,0,0,0,0,0,0,0,0,0,4,2,11,0,3,32,0,0,0,0,39,1.1,2.1,3.1,17,3,2017,PIT,LWR,17,2,2553737
94403,4532,BR-1100,36,24,263,1,2,3,0,-8,0,0,0,0,0,0,0,0,0,5,0,60,15.72,16.72,16.72,18,14,2017,PIT,QB,7,1,2506109
94404,4532,JS-4750,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,20,0,25,0,0,0,1,1,2017,PIT,LWR,19,3,2558149
94405,4532,AB-3500,0,0,0,0,0,0,0,0,0,11,11,182,0,0,0,0,0,0,0,51,18.2,23.7,32.2,19,8,2017,PIT,LWR,84,1,2508061
94406,4532,VM-0250,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,18,0,0,0,12,5,2017,PIT,TE,89,2,2540215
94407,4532,MB-4550,0,0,0,0,0,0,0,0,0,6,2,14,0,0,0,0,0,0,0,50,1.4,2.4,3.4,1,4,2017,PIT,RWR,10,1,2543572
94408,4532,DJ-1850,0,0,0,0,0,0,0,0,0,5,2,20,0,0,0,0,0,0,0,50,2,3,4,17,3,2017,CLE,RB,29,2,2552461
94409,4532,RL-1325,0,0,0,0,0,0,0,0,0,3,2,32,0,0,0,0,0,0,0,16,3.2,4.2,5.2,17,2,2017,CLE,RWR,80,2,2555473
94410,4532,LB-0250,0,0,0,0,0,10,2,32,0,6,3,15,0,0,0,0,0,4,0,43,4.7,6.2,7.7,16,5,2017,PIT,RB,26,1,2540175
94411,4532,JJ-0725,0,0,0,0,0,0,0,0,0,8,6,41,2,0,0,0,0,0,0,54,16.1,19.1,22.1,20,3,2017,PIT,TE,81,1,2552633
94412,4532,SD-0534,0,0,0,0,0,0,0,0,0,5,4,42,0,0,0,0,0,0,0,31,4.2,6.2,8.2,13,2,2017,CLE,TE,87,2,2556365
94413,4532,JC-4075,0,0,0,0,0,4,2,11,0,0,0,0,0,0,0,0,0,0,0,8,1.1,1.1,1.1,1,1,2017,PIT,RB,30,3,2557978
94414,4532,CC-3650,0,0,0,0,0,0,0,0,0,6,5,53,1,0,0,0,0,0,0,53,11.3,13.8,16.3,11,2,2017,CLE,LWR,19,1,2555333
94415,4532,KW-1175,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,2,3,2017,CLE,RWR,82,3,2554138
94416,4532,KB-1900,0,0,0,0,0,0,0,0,0,3,1,13,0,0,0,0,0,0,0,52,1.3,1.8,2.3,16,9,2017,CLE,RWR,18,1,71217
94417,4532,DH-2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,13,9,2017,PIT,RWR,88,2,80427
94418,4533,TG-1950,0,0,0,0,0,19,6,40,1,6,5,56,0,0,0,0,0,0,0,48,15.6,18.1,20.6,1,3,2017,LA,RB,30,1,2552475
94419,4533,JG-1850,29,21,306,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,60,16.44,16.44,19.44,1,2,2017,LA,QB,16,1,2555334
94420,4533,SW-0450,0,0,0,0,0,0,0,0,0,5,5,58,0,0,0,0,0,0,0,38,5.8,8.3,10.8,1,4,2017,LA,RWR,12,1,2543457
94421,4533,RW-4050,0,0,0,0,0,0,0,0,0,5,3,53,0,0,0,0,0,0,0,43,5.3,6.8,8.3,1,5,2017,LA,WR,17,1,2540169
94422,4533,TH-1550,0,0,0,0,0,0,0,0,0,3,2,17,0,0,0,0,0,15,0,53,1.7,2.7,3.7,1,2,2017,LA,TE,89,1,2555364
94423,4533,CK-1300,0,0,0,0,0,0,0,0,0,6,4,76,1,0,0,0,0,0,0,39,13.6,15.6,17.6,1,1,2017,LA,WR,18,2,2557898
94424,4533,FG-0200,0,0,0,0,0,10,5,42,0,1,1,10,0,0,0,0,0,0,0,19,5.2,5.7,6.2,1,13,2017,IND,RB,23,1,2506404
94425,4533,ST-0700,18,9,128,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,42,1.32,3.32,3.32,1,7,2017,IND,QB,16,1,2495425
94426,4533,TH-1850,0,0,0,0,0,0,0,0,0,7,3,57,0,0,0,0,1,0,0,44,3.7,5.2,7.7,1,6,2017,IND,LWR,13,1,2532865
94427,4533,JD-2550,0,0,0,0,0,0,0,0,0,3,2,41,0,0,0,0,0,0,0,46,4.1,5.1,6.1,1,5,2017,IND,TE,84,1,2540232
94428,4533,MM-0050,0,0,0,0,0,10,2,21,1,1,1,21,0,0,0,0,0,0,0,17,10.2,10.7,11.2,1,1,2017,IND,RB,25,3,2558123
94429,4533,DM-2775,0,0,0,0,0,0,0,0,0,4,1,50,0,0,0,0,0,0,0,45,5,5.5,6,1,4,2017,IND,RWR,10,1,2543614
94430,4533,TA-1050,0,0,0,0,0,2,1,11,0,1,1,7,0,4,28,0,1,0,0,7,-0.2,0.3,1.8,1,5,2017,LA,LWR,11,1,2539336
94431,4533,QB-0250,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,0,0,0,1,3,2017,IND,LWR,11,3,2553467
94432,4533,KA-0400,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,26,0.3,0.8,1.3,1,7,2017,IND,RWR,1,2,2530660
94433,4533,GE-0400,0,0,0,0,0,0,0,0,0,1,1,39,0,0,0,0,0,0,0,29,3.9,4.4,4.9,1,1,2017,LA,TE,81,2,2557889
94434,4533,RT-1950,0,0,0,0,0,2,1,7,0,1,1,-4,0,0,0,0,0,0,0,14,0.3,0.8,1.3,1,6,2017,IND,RB,33,2,2533460
94435,4533,DC-0775,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,13,1.2,1.7,2.2,1,6,2017,LA,TE,86,3,2534241
94436,4533,MB-3862,0,0,0,0,0,7,2,16,1,0,0,0,0,0,0,0,0,0,0,11,7.6,7.6,7.6,1,3,2017,LA,RB,34,2,2552382
94437,4533,JB-5725,3,2,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.04,2.04,2.04,1,2,2017,IND,QB,15,2,2555261
94438,4533,PC-0625,0,0,0,0,0,0,0,0,0,1,0,0,0,1,35,0,0,0,0,22,0,0,0,1,2,2017,LA,LWR,10,2,2555419
94439,4533,MH-2150,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0.1,0.6,1.1,1,4,2017,IND,RWR,14,3,2543792
94440,4533,JD-1050,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0.1,0.1,0.1,1,1,2017,LA,RB,42,3,2559163
94441,4533,SM-0425,1,1,12,0,0,3,0,-7,0,0,0,0,0,0,0,0,0,0,0,5,-0.22,-0.22,-0.22,1,3,2017,LA,QB,14,2,2552576
94442,4534,JS-6700,0,0,0,0,0,18,10,65,0,2,2,17,1,0,0,0,0,0,0,29,14.2,15.2,16.2,1,10,2017,CAR,RB,28,1,949
94443,4534,CN-0500,25,14,171,1,2,6,1,3,0,0,0,0,0,0,0,0,0,0,0,67,13.14,14.14,14.14,1,7,2017,CAR,QB,1,1,2495455
94444,4534,CM-1225,0,0,0,0,0,13,5,47,0,7,5,38,0,4,28,0,1,0,0,47,6.5,9,12.5,1,1,2017,CAR,RB,22,2,2557997
94445,4534,GO-0100,0,0,0,0,0,0,0,0,0,4,2,18,0,0,0,0,0,0,0,67,1.8,2.8,3.8,1,11,2017,CAR,TE,88,1,2495700
94446,4534,TT-0450,0,0,0,0,0,0,0,0,0,1,1,8,0,2,9,0,0,0,0,24,0.8,1.3,1.8,1,1,2017,SF,LWR,81,2,2558202
94447,4534,BH-1900,35,24,193,1,0,1,0,-5,0,0,0,0,0,0,0,0,1,5,0,57,3.22,4.22,5.22,1,9,2017,SF,QB,2,1,81294
94448,4534,KJ-1400,0,0,0,0,0,1,0,0,0,4,2,17,0,0,0,0,0,0,0,19,1.7,2.7,3.7,1,5,2017,SF,FB,44,1,2540230
94449,4534,CH-5000,0,0,0,0,0,9,3,45,0,6,6,32,0,0,0,0,0,0,0,45,7.7,10.7,13.7,1,4,2017,SF,RB,28,1,2543743
94450,4534,GK-0075,0,0,0,0,0,0,0,0,0,6,5,27,0,0,0,0,0,5,0,54,2.7,5.2,7.7,1,1,2017,SF,TE,85,1,2558266
94451,4534,MB-3537,0,0,0,0,0,4,1,11,0,0,0,0,0,0,0,0,0,0,0,10,1.1,1.1,1.1,1,1,2017,SF,RB,22,2,2558918
94452,4534,PG-0100,0,0,0,0,0,0,0,0,0,10,6,81,0,0,0,0,0,0,0,50,8.1,11.1,14.1,1,10,2017,SF,LWR,15,1,2346
94453,4534,MG-1050,0,0,0,0,0,0,0,0,0,6,3,21,0,0,0,0,0,0,0,50,2.1,3.6,5.1,1,5,2017,SF,RWR,11,1,2539964
94454,4534,FW-0750,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0.1,1,6,2017,CAR,RB,43,3,2540037
94455,4534,KB-0950,0,0,0,0,0,0,0,0,0,5,1,25,0,0,0,0,0,0,0,43,2.5,3,3.5,1,4,2017,CAR,LWR,13,1,2543471
94456,4534,RS-0975,0,0,0,0,0,0,0,0,0,2,2,53,1,0,0,0,0,5,0,20,11.3,12.3,13.3,1,5,2017,CAR,RWR,19,2,2541944
94457,4534,DF-2200,0,0,0,0,0,0,0,0,0,2,2,20,0,0,0,0,0,0,0,45,2,3,4,1,3,2017,CAR,RWR,17,1,2552458
94458,4534,ED-0400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,1,8,2017,CAR,TE,84,2,497224
94459,4534,DB-6375,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,1,3,2017,CAR,LWR,18,2,2553499
94460,4534,AR-1200,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,10,0.7,1.2,1.7,1,7,2017,SF,RWR,19,2,2495331
94461,4535,TL-1025,0,0,0,0,0,0,0,0,0,3,1,8,0,8,98,0,0,0,0,26,0.8,1.3,1.8,1,3,2017,SEA,RWR,16,2,2552430
94462,4535,RW-3850,27,14,158,0,0,2,2,40,0,0,0,0,0,0,0,0,1,0,0,49,8.32,8.32,9.32,1,6,2017,SEA,QB,3,1,2532975
94463,4535,JG-2900,0,0,0,0,0,0,0,0,0,7,3,8,0,0,0,0,0,0,0,40,0.8,2.3,3.8,1,8,2017,SEA,TE,88,1,497236
94464,4535,DB-0500,0,0,0,0,0,1,0,-3,0,4,4,63,0,0,0,0,0,0,0,43,6,8,10,1,7,2017,SEA,LWR,89,1,2530747
94465,4535,TD-0737,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,1,2,2017,GB,RWR,11,2,2555413
94466,4535,AR-1300,42,28,311,1,1,7,3,21,0,0,0,0,0,0,0,0,0,5,0,82,16.54,17.54,20.54,1,13,2017,GB,QB,12,1,2506363
94467,4535,JN-0900,0,0,0,0,0,0,0,0,0,8,7,79,1,0,0,0,0,0,0,76,13.9,17.4,20.9,1,10,2017,GB,LWR,87,1,1032
94468,4535,RC-1500,0,0,0,0,0,0,0,0,0,13,9,85,0,0,0,0,0,15,0,63,8.5,13,17.5,1,7,2017,GB,RWR,18,1,2495448
94469,4535,MB-1800,0,0,0,0,0,0,0,0,0,6,3,43,0,0,0,0,0,15,0,67,4.3,5.8,7.3,1,10,2017,GB,TE,80,1,1062
94470,4535,LK-0200,0,0,0,0,0,0,0,0,0,4,2,18,0,0,0,0,0,0,0,21,1.8,2.8,3.8,1,7,2017,GB,TE,84,2,2495187
94471,4535,EL-0010,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,7,0.3,0.3,0.3,1,5,2017,SEA,RB,27,2,2540168
94472,4535,TM-1787,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,1,2,2017,SEA,LWR,19,2,2556612
94473,4535,TM-3150,0,0,0,0,0,19,7,54,1,4,4,39,0,0,0,0,0,0,0,74,15.3,17.3,19.3,1,3,2017,GB,RB,88,1,2552429
94474,4535,JW-3650,0,0,0,0,0,2,2,9,0,0,0,0,0,0,0,0,0,0,0,8,0.9,0.9,0.9,1,1,2017,GB,RB,30,2,2558204
94475,4535,DA-0212,0,0,0,0,0,0,0,0,0,7,3,47,0,0,0,0,0,0,0,67,4.7,6.2,7.7,1,4,2017,GB,LWR,17,2,2543495
94476,4535,CP-2550,0,0,0,0,0,4,2,11,0,0,0,0,0,0,0,0,0,0,0,16,1.1,1.1,1.1,1,2,2017,SEA,RB,22,3,2555417
94477,4535,PR-0150,0,0,0,0,0,0,0,0,0,7,4,59,0,0,0,0,0,0,0,41,5.9,7.9,9.9,1,4,2017,SEA,RWR,10,1,2543491
94478,4535,CC-0750,0,0,0,0,0,6,2,39,0,1,1,10,0,0,0,0,0,0,0,26,4.9,5.4,5.9,1,1,2017,SEA,RB,32,4,2558865
94479,4535,LW-1450,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,17,0,0,0,1,5,2017,SEA,TE,82,2,2541199
94480,4535,TM-0150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,1,2,2017,SEA,FB,38,1,2556603
94481,4535,NV-0050,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,8,1,1.5,2,1,2,2017,SEA,TE,81,3,2555289
94482,4535,AD-0212,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,2017,SEA,RWR,84,3,2557905
94483,4536,RS-3525,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42,0,0,0,0,0,0,0,0,1,1,2017,DAL,SWR,10,2,2557960
94484,4536,DP-2037,39,24,268,0,1,3,3,24,0,0,0,0,0,0,0,0,0,0,0,74,17.12,17.12,17.12,1,2,2017,DAL,QB,4,1,2555260
94485,4536,EE-0250,0,0,0,0,0,24,16,104,0,5,5,36,0,0,0,0,0,0,0,60,14,16.5,22,1,2,2017,DAL,RB,21,1,2555224
94486,4536,CB-1130,0,0,0,0,0,0,0,0,0,5,3,32,0,0,0,0,0,0,0,52,3.2,4.7,6.2,1,6,2017,DAL,SWR,11,1,2535698
94487,4536,JW-6000,0,0,0,0,0,0,0,0,0,9,7,59,1,0,0,0,0,0,0,74,11.9,15.4,18.9,1,15,2017,DAL,TE,82,1,2505629
94488,4536,BB-4100,0,0,0,0,0,0,0,0,0,3,1,30,0,0,0,0,0,0,0,35,3,3.5,4,1,5,2017,DAL,LWR,19,2,2541388
94489,4536,DB-5300,0,0,0,0,0,0,0,0,0,9,2,43,0,0,0,0,0,0,0,67,4.3,5.3,6.3,1,8,2017,DAL,LWR,88,1,497278
94490,4536,DH-1800,0,0,0,0,0,0,0,0,0,0,0,0,0,6,67,0,0,0,0,0,0,0,0,1,7,2017,NYG,SWR,17,2,2495159
94491,4536,PP-0350,0,0,0,0,0,7,0,16,0,3,2,9,0,0,0,0,0,0,0,18,2.5,3.5,4.5,1,2,2017,NYG,RB,28,1,2555460
94492,4536,EM-0200,38,29,220,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,57,6.7,7.7,7.7,1,14,2017,NYG,QB,10,1,2505996
94493,4536,EE-0400,0,0,0,0,0,0,0,0,0,5,4,44,0,0,0,0,0,0,0,48,4.4,6.4,8.4,1,1,2017,NYG,TE,88,2,2557858
94494,4536,SV-0200,0,0,0,0,0,0,0,0,0,10,9,51,0,0,0,0,0,0,0,31,5.1,9.6,14.1,1,7,2017,NYG,RB,34,2,2495473
94495,4536,TW-2270,0,0,0,0,0,0,0,0,0,7,6,68,0,0,0,0,0,0,0,38,6.8,9.8,12.8,1,5,2017,DAL,RWR,83,1,2539205
94496,4536,AM-2850,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0.1,0.1,0.1,1,6,2017,DAL,RB,46,3,2533457
94497,4536,SS-1250,0,0,0,0,0,1,1,6,0,8,7,44,0,0,0,0,0,0,0,57,5,8.5,12,1,2,2017,NYG,SWR,87,1,2555295
94498,4536,OD-0200,0,0,0,0,0,3,2,14,0,1,1,-1,0,0,0,0,0,0,0,8,1.3,1.8,2.3,1,4,2017,NYG,RB,26,3,2550481
94499,4536,BM-0300,0,0,0,0,0,0,0,0,0,4,1,10,0,0,0,0,0,0,0,49,1,1.5,2,1,12,2017,NYG,RWR,15,1,2495893
94500,4536,RL-0625,0,0,0,0,0,0,0,0,0,6,4,54,0,0,0,0,0,0,0,44,5.4,7.4,9.4,1,2,2017,NYG,RWR,18,2,2556592
94501,4536,RE-0400,0,0,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,0,19,0.9,1.4,1.9,1,6,2017,NYG,TE,85,1,2532835
94502,4536,JA-0245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,1,2,2017,NYG,TE,89,3,2555311
94503,4537,TE-0025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,1,1,2017,NO,RB,33,5,2559325
94504,4537,AP-0700,0,0,0,0,0,6,2,18,0,1,0,0,0,0,0,0,0,0,0,9,1.8,1.8,1.8,1,11,2017,NO,RB,28,2,2507164
94505,4537,DB-3800,37,27,291,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,15.64,15.64,15.64,1,17,2017,NO,QB,9,1,2504775
94506,4537,CF-0650,0,0,0,0,0,0,0,0,0,6,5,54,1,0,0,0,0,0,0,32,11.4,13.9,16.4,1,6,2017,NO,TE,82,1,2532838
94507,4537,AK-0050,0,0,0,0,0,7,0,18,0,6,4,20,0,1,26,0,0,0,0,31,3.8,5.8,7.8,1,1,2017,NO,RB,41,3,2558019
94508,4537,MT-0875,0,0,0,0,0,0,0,0,0,8,5,45,0,0,0,0,0,0,0,58,4.5,7,9.5,1,2,2017,NO,LWR,13,1,2556370
94509,4537,MI-0100,0,0,0,0,0,6,2,17,0,5,5,54,0,0,0,0,0,0,0,26,7.1,9.6,12.1,1,7,2017,NO,RB,22,1,2495466
94510,4537,TG-0900,0,0,0,0,0,1,1,5,0,5,4,53,0,2,0,0,0,0,0,42,5.8,7.8,9.8,1,11,2017,NO,RWR,19,1,2507166
94511,4537,JK-2200,0,0,0,0,0,1,1,2,0,0,0,0,0,1,9,0,0,0,0,8,0.2,0.2,0.2,1,13,2017,NO,FB,29,1,2506147
94512,4537,TL-0825,0,0,0,0,0,0,0,0,0,3,2,52,0,0,0,0,0,0,0,11,5.2,6.2,7.2,1,2,2017,NO,RWR,87,2,2556752
94513,4537,JM-3450,0,0,0,0,0,3,1,5,0,3,3,32,0,4,108,0,0,0,0,11,3.7,5.2,6.7,1,4,2017,MIN,RB,21,3,2543715
94514,4537,SB-1100,32,27,346,0,3,2,0,-3,0,0,0,0,0,0,0,0,0,0,0,65,25.54,25.54,28.54,1,8,2017,MIN,QB,8,1,497095
94515,4537,DC-3550,0,0,0,0,0,22,11,127,0,5,3,10,0,0,0,0,0,0,0,51,13.7,15.2,19.7,1,1,2017,MIN,RB,33,1,2557991
94516,4537,SD-0537,0,0,0,0,0,1,0,-6,0,8,7,93,2,0,0,0,0,0,0,58,20.7,24.2,27.7,1,3,2017,MIN,RWR,14,1,2552608
94517,4537,AT-0350,0,0,0,0,0,0,0,0,0,10,9,157,0,0,0,0,0,0,0,65,15.7,20.2,27.7,1,5,2017,MIN,LWR,19,1,2541785
94518,4537,JW-6560,0,0,0,0,0,0,0,0,0,2,1,21,0,0,0,0,0,0,0,16,2.1,2.6,3.1,1,6,2017,MIN,RWR,17,2,2532978
94519,4537,KR-1200,0,0,0,0,0,0,0,0,0,3,3,26,1,0,0,0,0,0,0,55,8.6,10.1,11.6,1,7,2017,MIN,TE,82,1,2495438
94520,4537,LM-1850,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.6,0.6,1,5,2017,MIN,RB,25,2,2541161
94521,4537,BC-1850,0,0,0,0,0,0,0,0,0,3,2,13,0,0,0,0,0,0,0,48,1.3,2.3,3.3,1,4,2017,NO,LWR,16,2,2550328
94522,4537,LT-0862,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,36,0.7,1.2,1.7,1,2,2017,MIN,LWR,11,2,2555214
94523,4538,CA-0750,0,0,0,0,0,20,10,81,0,3,1,7,0,0,0,0,0,0,0,48,8.8,9.3,9.8,1,5,2017,DEN,RB,22,1,2540269
94524,4538,TS-1450,28,17,219,1,2,6,3,19,1,0,0,0,0,0,0,0,0,0,0,69,22.66,23.66,23.66,1,3,2017,DEN,QB,13,1,2553457
94525,4538,DT-0900,0,0,0,0,0,0,0,0,0,8,5,67,0,0,0,0,0,0,0,60,6.7,9.2,11.7,1,8,2017,DEN,LWR,88,1,497328
94526,4538,ES-0200,0,0,0,0,0,0,0,0,0,6,3,26,0,0,0,0,0,0,0,53,2.6,4.1,5.6,1,8,2017,DEN,RWR,10,1,497322
94527,4538,JH-3625,0,0,0,0,0,0,0,0,0,2,1,20,0,0,0,0,0,0,0,17,2,2.5,3,1,3,2017,DEN,TE,82,2,2552399
94528,4538,TB-1060,0,0,0,0,0,0,0,0,0,4,3,43,1,3,-3,0,0,0,0,39,10.3,11.8,13.3,1,6,2017,LAC,RWR,12,2,2532790
94529,4538,MG-1150,0,0,0,0,0,18,4,54,0,6,5,25,1,0,0,0,0,0,0,44,13.9,16.4,18.9,1,3,2017,LAC,RB,28,1,2552469
94530,4538,PR-0300,33,22,192,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,17.68,18.68,18.68,1,14,2017,LAC,QB,17,1,2506121
94531,4538,TW-2875,0,0,0,0,0,0,0,0,0,7,5,54,0,0,0,0,0,0,0,55,5.4,7.9,10.4,1,3,2017,LAC,RWR,16,1,2553913
94532,4538,KA-0650,0,0,0,0,0,0,0,0,0,10,5,35,1,0,0,0,0,15,0,53,9.5,12,14.5,1,5,2017,LAC,LWR,13,1,2540154
94533,4538,JC-2300,0,0,0,0,0,10,5,40,0,1,0,0,0,0,0,0,1,0,0,21,2,2,3,1,10,2017,DEN,RB,28,2,925
94534,4538,BF-0950,0,0,0,0,0,0,0,0,0,4,3,21,2,0,0,0,0,0,0,38,14.1,15.6,17.1,1,4,2017,DEN,LWR,16,2,2550198
94535,4538,BO-0150,0,0,0,0,0,4,2,10,0,1,0,0,0,0,0,0,0,0,0,11,1,1,1,1,4,2017,LAC,RB,32,2,2550658
94536,4538,AG-0500,0,0,0,0,0,0,0,0,0,3,2,17,0,0,0,0,0,0,0,39,1.7,2.7,3.7,1,15,2017,LAC,TE,85,1,2505299
94537,4538,IM-0125,0,0,0,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0,0,0,0,0,2,1,2017,DEN,RWR,84,3,2558129
94538,4538,AD-1175,0,0,0,0,0,0,0,0,0,3,3,34,0,0,0,0,0,0,0,29,3.4,4.9,6.4,1,3,2017,DEN,TE,83,3,2552580
94539,4538,AE-0550,0,0,0,0,0,0,0,0,0,2,2,18,0,0,0,0,0,0,0,3,1.8,2.8,3.8,1,1,2017,LAC,RB,3,3,2559169
94540,4538,CL-0275,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,12,0,0,0,1,4,2017,DEN,RWR,14,2,2543590
94541,4538,VG-0300,0,0,0,0,0,0,0,0,0,1,1,44,0,0,0,0,0,0,0,45,4.4,4.9,5.4,1,7,2017,DEN,TE,85,1,2495288
94542,4539,LM-1150,0,0,0,0,0,18,9,61,0,3,3,26,0,0,0,0,0,0,0,49,8.7,10.2,11.7,2,6,2017,HOU,RB,26,1,2533034
94543,4539,DW-1725,24,15,125,0,0,5,2,67,1,0,0,0,0,0,0,0,0,0,0,66,17.7,17.7,17.7,2,1,2017,HOU,QB,4,1,2558063
94544,4539,DH-3950,0,0,0,0,0,0,0,0,0,13,7,73,0,0,0,0,0,10,0,66,7.3,10.8,14.3,2,5,2017,HOU,LWR,10,1,2540165
94545,4539,BM-2350,0,0,0,0,0,0,0,0,0,3,2,10,0,0,0,0,0,8,0,63,1,2,3,2,2,2017,HOU,RWR,13,1,2555348
94546,4539,JH-4025,0,0,0,0,0,6,4,17,0,1,1,2,0,0,0,0,0,0,0,15,1.9,2.4,2.9,2,4,2017,CIN,RB,32,1,2543603
94547,4539,AD-0100,35,20,213,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,64,9.02,9.02,9.02,2,7,2017,CIN,QB,14,1,2495143
94548,4539,AG-1500,0,0,0,0,0,0,0,0,0,8,5,64,0,0,0,0,0,0,0,62,6.4,8.9,11.4,2,7,2017,CIN,LWR,18,1,2495450
94549,4539,GB-0350,0,0,0,0,0,5,2,10,0,4,2,8,0,0,0,0,0,0,0,33,1.8,2.8,3.8,2,5,2017,CIN,RB,25,2,2540156
94550,4539,JM-5275,0,0,0,0,0,9,4,36,0,1,1,5,0,0,0,0,0,0,0,16,4.1,4.6,5.1,2,1,2017,CIN,RB,28,3,2557976
94551,4539,TE-0350,0,0,0,0,0,0,0,0,0,5,3,16,0,6,32,0,0,0,0,27,1.6,3.1,4.6,2,2,2017,HOU,RB,34,3,2555234
94552,4539,DF-1362,0,0,0,0,0,12,7,40,0,0,0,0,0,0,0,0,0,0,0,17,4,4,4,2,1,2017,HOU,RB,27,4,2557994
94553,4539,AE-1037,0,0,0,0,0,1,0,2,0,6,4,62,0,9,133,0,0,0,0,37,6.4,8.4,10.4,2,2,2017,CIN,RWR,12,4,2556519
