uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp,nflid
94265,4525,TR-0370,0,0,0,0,0,1,0,-1,0,7,6,27,1,0,0,0,0,0,0,21,8.6,11.6,14.6,11,5,2017,DET,RB,25,1,2540020
94266,4525,KR-0375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2017,DET,P,2,1,2550848
94267,4525,JG-3700,0,0,0,0,0,0,0,0,0,4,3,15,0,0,0,0,0,10,0,55,1.5,3,4.5,17,8,2017,ARI,TE,84,1,497238
94268,4525,JB-6950,0,0,0,0,0,1,1,10,0,9,4,32,0,0,0,0,0,10,1,0,6.2,8.2,10.2,15,4,2017,ARI,RWR,12,1,2543847
94269,4525,TJ-2350,0,0,0,0,0,0,0,0,0,4,2,32,0,0,0,0,0,0,0,19,3.2,4.2,5.2,5,4,2017,DET,RWR,13,2,2543836
94270,4525,EE-0050,0,0,0,0,0,0,0,0,0,3,2,9,0,0,0,0,0,0,0,51,0.9,1.9,2.9,15,4,2017,DET,TE,85,1,2543466
94271,4525,MJ-2250,0,0,0,0,0,0,0,0,0,2,2,37,1,0,0,0,0,0,1,69,11.7,12.7,13.7,17,6,2017,DET,RWR,11,1,2532884
94272,4525,JR-3288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,2,2017,DET,QB,14,2,2556232
94273,4525,JN-0625,0,0,0,0,0,0,0,0,0,6,5,43,1,0,0,0,0,0,0,33,10.3,12.8,15.3,16,3,2017,ARI,LWR,14,2,2552656
94274,4525,TN-0550,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,0,0,0,4,4,2017,ARI,TE,87,1,2543628
94275,4525,AE-0750,0,0,0,0,0,0,0,0,0,3,2,35,0,0,0,0,0,0,0,20,3.5,4.5,5.5,17,5,2017,ARI,RB,38,3,2539217
94276,4526,AR-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,4,87,0,0,0,0,2,0,0,0,18,8,2017,ATL,LWR,19,3,497320
94277,4526,DF-1875,0,0,0,0,0,12,6,37,1,2,2,2,0,0,0,0,0,0,0,36,9.9,10.9,11.9,20,4,2017,ATL,RB,24,1,2543583
94278,4526,MR-2500,30,21,321,0,1,3,1,11,0,0,0,0,0,0,0,0,0,0,0,59,17.94,17.94,20.94,20,10,2017,ATL,QB,2,1,310
94279,4526,MS-0150,0,0,0,0,0,0,0,0,0,9,6,47,0,0,0,0,0,0,0,48,4.7,7.7,10.7,19,6,2017,ATL,RWR,12,1,2533040
94280,4526,JJ-4700,0,0,0,0,0,0,0,0,0,5,4,66,0,0,0,0,0,0,0,48,6.6,8.6,10.6,18,7,2017,ATL,LWR,11,1,2495454
94281,4526,TG-0025,0,0,0,0,0,0,0,0,0,4,3,36,0,0,0,0,0,0,0,31,3.6,5.1,6.6,17,4,2017,ATL,RWR,18,2,2550617
94282,4526,TC-2050,0,0,0,0,0,8,1,16,0,6,4,42,0,0,0,0,0,0,0,24,5.8,7.8,9.8,17,3,2017,ATL,RB,26,2,2552453
94283,4526,BC-3070,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,4,0,0,0,12,5,2017,CHI,RB,30,3,2541544
94284,4526,JH-5575,0,0,0,0,0,13,6,52,1,5,3,14,0,0,0,0,0,0,0,38,12.6,14.1,15.6,16,2,2017,CHI,RB,24,1,2555418
94285,4526,MG-0850,40,26,213,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,12.52,12.52,12.52,3,5,2017,CHI,QB,8,1,2539275
94286,4526,TC-1975,0,0,0,0,0,5,3,66,0,12,8,47,1,3,45,0,0,0,0,28,17.3,21.3,25.3,1,1,2017,CHI,RB,29,2,2558250
94287,4526,ZM-0250,0,0,0,0,0,0,0,0,0,6,4,39,0,0,0,0,0,0,0,40,3.9,5.9,7.9,11,9,2017,CHI,TE,86,2,238457
94288,4526,DT-1250,0,0,0,0,0,0,0,0,0,2,1,15,0,2,47,0,0,0,0,44,1.5,2,2.5,16,6,2017,CHI,LWR,14,2,2534436
94289,4526,KW-0887,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,0,0,0,0,47,0.6,1.6,2.6,5,3,2017,CHI,RWR,11,1,2553432
94290,4526,MB-5175,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,6,0.7,0.7,0.7,16,3,2017,CHI,FB,46,1,2552636
94291,4526,DS-2170,0,0,0,0,0,0,0,0,0,3,2,31,0,0,0,0,0,0,0,48,3.1,4.1,5.1,16,5,2017,CHI,TE,88,1,2540200
94292,4526,AH-3650,0,0,0,0,0,0,0,0,0,2,2,128,1,0,0,0,0,0,0,47,18.8,19.8,23.8,18,2,2017,ATL,TE,81,1,2555415
94293,4526,KW-2550,0,0,0,0,0,0,0,0,0,4,3,34,0,0,0,0,0,0,0,39,3.4,4.9,6.4,12,6,2017,CHI,LWR,13,1,2532977
94294,4526,JB-2950,0,0,0,0,0,0,0,0,0,4,3,27,0,0,0,0,0,0,0,33,2.7,4.2,5.7,15,6,2017,CHI,RWR,15,3,2535964
94295,4526,DC-2850,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,1,6,2017,ATL,FB,40,1,2534871
94296,4526,LT-0550,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,20,5,2017,ATL,TE,80,2,2540203
94297,4527,BL-0100,0,0,0,0,0,0,0,0,0,5,3,24,0,0,0,0,0,5,0,57,2.4,3.9,5.4,17,8,2017,CIN,RWR,11,1,497302
94298,4527,AD-0100,31,16,170,4,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,61,-3,1,2,17,7,2017,CIN,QB,14,1,2495143
94299,4527,TK-0850,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,12,0.5,1,1.5,15,3,2017,CIN,TE,81,2,2552586
