pid,fgxp,fkicker,dist,good
745648,XP,GT-0150,33,1
745664,XP,GT-0150,33,1
745673,XP,CC-1150,33,1
745690,FG,CC-1150,46,1
745699,XP,GT-0150,33,1
745716,FG,CC-1150,40,1
745725,XP,GT-0150,33,1
745739,XP,GT-0150,33,1
745744,XP,GT-0150,33,1
745756,XP,CC-1150,33,1
745770,FG,GT-0150,29,1
745786,XP,BM-1650,33,1
745803,FG,BM-1650,49,0
745816,XP,DB-0200,33,1
745833,XP,BM-1650,33,1
745848,XP,BM-1650,33,1
745857,FG,DB-0200,56,1
745878,XP,BM-1650,33,1
745887,XP,BM-1650,33,1
745908,XP,DB-0200,33,1
745952,XP,BM-1650,33,1
745973,FG,BW-0350,25,1
745994,FG,BW-0350,27,1
746027,FG,RG-1500,40,1
746039,FG,RG-1500,37,1
746091,FG,RG-1500,34,1
746105,XP,BW-0350,33,0
746140,FG,DH-3970,41,1
746153,XP,DH-3970,33,1
746162,FG,DH-3970,22,1
746169,XP,GZ-2000,33,1
746186,FG,GZ-2000,32,1
746192,XP,DH-3970,33,1
746217,XP,GZ-2000,33,1
746228,FG,DH-3970,51,0
746254,FG,GZ-2000,40,1
746267,XP,DH-3970,33,1
746283,XP,MB-4600,33,1
746298,XP,MC-3000,33,1
746319,XP,MB-4600,33,1
746335,FG,MB-4600,51,1
746356,XP,MB-4600,33,1
746363,XP,MB-4600,33,1
746376,FG,MC-3000,28,1
746387,FG,MB-4600,53,1
746420,XP,MC-3000,33,1
746462,XP,MP-2100,33,1
746472,XP,AR-1450,33,1
746486,XP,MP-2100,33,1
746509,FG,MP-2100,56,1
746532,FG,AR-1450,25,1
746552,XP,MP-2100,33,1
746590,XP,GZ-2000,33,1
746607,XP,RG-1500,33,1
746618,XP,GZ-2000,33,1
746631,FG,GZ-2000,48,1
746646,FG,RG-1500,36,1
746661,FG,RG-1500,48,1
746673,XP,GZ-2000,33,1
746690,FG,GZ-2000,19,1
746702,XP,RG-1500,33,1
746716,XP,GZ-2000,33,1
746724,XP,RG-1500,33,0
746734,XP,GZ-2000,33,1
746749,XP,RG-1500,33,1
746784,FG,JM-7000,23,1
746797,XP,JM-7000,33,1
746814,FG,JM-7000,45,1
746833,XP,JM-7000,33,1
746852,FG,JM-7000,29,1
746874,XP,JM-7000,33,1
746883,XP,JM-7000,33,1
746900,XP,JM-7000,33,1
746929,XP,JT-3950,33,1
746951,XP,MB-4600,33,1
746974,FG,MB-4600,36,1
746981,FG,MP-2100,55,1
746993,XP,MB-4600,33,1
747003,FG,MP-2100,40,1
747006,XP,MP-2100,33,1
747015,FG,MB-4600,48,1
747031,FG,MB-4600,40,1
747045,XP,MP-2100,33,1
747056,FG,MP-2100,35,1
747062,XP,MB-4600,33,1
747071,FG,MP-2100,57,1
747151,XP,AV-0400,33,1
747158,XP,ZG-0050,33,1
747167,XP,AV-0400,33,1
747181,XP,AV-0400,33,1
747192,XP,AV-0400,33,1
747206,XP,ZG-0050,33,1
747253,FG,AV-0400,33,1
747269,XP,ZG-0050,33,1
747288,XP,ZG-0050,33,1
747332,FG,BM-1650,38,1
747344,XP,SH-0400,33,1
747350,XP,BM-1650,33,1
747371,FG,SH-0400,49,1
747381,FG,BM-1650,35,1
747387,FG,SH-0400,55,1
747406,FG,BM-1650,28,1
747412,XP,SH-0400,33,1
747432,FG,SH-0400,53,1
747457,FG,SH-0400,27,1
747482,XP,SG-0800,33,1
747490,FG,KF-0075,39,1
747506,XP,KF-0075,33,1
747521,XP,SG-0800,33,1
747533,FG,KF-0075,40,1
747537,XP,KF-0075,33,1
747545,XP,SG-0800,33,1
747565,XP,SG-0800,33,1
747579,XP,KF-0075,33,1
747603,FG,KF-0075,31,1
747628,FG,KF-0075,36,1
747665,FG,CC-1150,45,0
747696,FG,CC-1150,40,1
747713,XP,CC-1150,33,1
747734,XP,CC-1150,33,1
747753,FG,CC-1150,22,1
747800,XP,CP-0575,33,0
747816,FG,GG-0100,32,1
747831,XP,WL-0300,33,1
747841,FG,GG-0100,48,1
