pid,kicker,kgro,knet,ktb,kr,kry
745289,CS-0250,65,40,1,,0
745304,JE-0250,26,26,0,,0
745306,JM-7000,65,40,1,,0
745323,JM-7000,65,40,1,,0
745335,RS-3400,65,40,1,,0
745386,RS-3400,68,40,0,CG-1950,28
745400,RS-3400,65,40,1,,0
745409,RS-3400,66,47,0,CG-1950,19
745420,RS-3400,49,35,0,KC-1550,14
745441,RS-3400,65,40,1,,0
745449,JM-7000,12,-10,0,ED-0200,22
745457,RS-3400,69,42,0,CG-1950,27
745465,JM-7000,45,45,0,EW-0500,0
745471,CP-0575,65,40,1,,0
745490,CP-0575,65,40,1,,0
745508,YK-0100,68,48,0,KD-1462,20
745528,YK-0100,65,31,0,KD-1462,34
745549,YK-0100,65,40,1,,0
745558,CP-0575,64,42,0,AE-0550,22
745568,YK-0100,59,42,0,KD-1462,17
745581,CP-0575,58,44,0,AE-0550,14
745605,CP-0575,66,53,0,AE-0550,13
745618,CP-0575,62,45,0,DK-0687,17
745627,CC-1150,69,49,0,CP-0750,20
745649,GT-0150,67,27,0,KR-0312,40
745665,GT-0150,65,40,1,,0
745674,CC-1150,66,35,0,CP-0750,31
745691,CC-1150,65,40,1,,0
745700,GT-0150,65,40,1,,0
745702,GT-0150,44,37,0,JJ-1675,7
745717,CC-1150,68,49,0,CP-0750,19
745726,GT-0150,65,40,1,,0
745740,GT-0150,65,40,1,,0
745745,GT-0150,65,40,1,,0
745757,CC-1150,13,13,0,,0
745771,GT-0150,65,40,1,,0
745773,BM-1650,65,40,1,,0
745787,BM-1650,65,40,1,,0
745817,DB-0200,71,46,0,CL-0275,25
745834,BM-1650,65,40,1,,0
745849,BM-1650,65,40,1,,0
745858,DB-0200,65,40,1,,0
745860,DB-0200,65,40,1,,0
745879,BM-1650,65,40,1,,0
745888,BM-1650,65,40,1,,0
745909,DB-0200,65,40,1,,0
745953,BM-1650,65,40,1,,0
745956,BP-0750,65,40,1,,0
745974,BW-0350,65,40,1,,0
745995,BW-0350,67,33,0,VB-0098,34
746028,BP-0750,65,40,1,,0
746040,BP-0750,70,43,0,TL-1025,27
746042,BW-0350,58,39,0,VB-0098,19
746092,BP-0750,66,47,0,TL-1025,19
746106,BW-0350,63,45,0,VB-0098,18
746119,DH-3970,65,40,1,,0
746141,DH-3970,63,39,0,PC-0625,24
746154,DH-3970,71,37,0,PC-0625,34
746163,DH-3970,65,40,1,,0
746170,GZ-2000,65,40,1,,0
746187,GZ-2000,65,40,1,,0
746193,DH-3970,65,40,1,,0
746203,GZ-2000,65,40,1,,0
746218,GZ-2000,65,49,0,CT-1220,16
746255,GZ-2000,65,40,1,,0
746268,DH-3970,62,37,0,PC-0625,25
746273,MC-3000,66,51,0,AR-1100,15
746284,MB-3000,65,40,1,,0
746299,MC-3000,65,40,1,,0
746320,MB-3000,65,40,1,,0
746336,MB-3000,65,40,1,,0
746357,MB-3000,50,25,1,,0
746360,MB-3000,65,40,1,,0
746364,MB-3000,65,40,1,,0
746377,MC-3000,65,40,1,,0
746388,MB-3000,65,40,1,,0
746405,MC-3000,65,40,1,,0
746421,MC-3000,60,44,0,AR-1100,16
746441,AR-1450,61,46,0,JA-0425,15
746463,JL-2250,60,35,1,,0
746473,AR-1450,77,40,0,,0
746487,JL-2250,65,40,1,,0
746510,JL-2250,60,39,0,DH-1800,21
746512,JL-2250,65,40,1,,0
746533,AR-1450,65,40,1,,0
746553,JL-2250,65,40,1,,0
746587,GZ-2000,65,40,1,,0
746591,GZ-2000,64,46,0,VB-0098,18
746608,BP-0750,65,40,1,,0
746619,GZ-2000,64,46,0,VB-0098,18
746632,GZ-2000,65,40,1,,0
746647,BP-0750,68,41,0,PC-0625,27
746662,BP-0750,65,40,1,,0
746674,GZ-2000,61,25,0,,0
746678,BP-0750,68,40,0,PC-0625,28
746691,GZ-2000,65,40,1,,0
746703,BP-0750,65,40,1,,0
746717,GZ-2000,65,40,1,,0
746725,BP-0750,65,40,1,,0
746735,GZ-2000,62,42,0,RM-5050,20
746750,BP-0750,68,40,0,PC-0625,28
746760,RG-1500,15,15,0,,0
746770,JM-7000,59,25,0,,0
746785,JM-7000,65,40,1,,0
746798,JM-7000,65,40,1,,0
746815,JM-7000,65,40,1,,0
746834,JM-7000,65,40,1,,0
746853,JM-7000,65,40,1,,0
746859,JT-3950,65,40,1,,0
746875,JM-7000,65,40,1,,0
746884,JM-7000,50,25,1,,0
746901,JM-7000,65,40,1,,0
746930,JT-3950,61,49,0,KC-1550,12
746937,JL-2250,65,40,1,,0
746952,MB-3000,65,54,0,JA-0425,11
746975,MB-3000,65,40,1,,0
746982,JL-2250,67,29,0,AR-1100,38
746994,MB-3000,65,40,1,,0
747004,JL-2250,65,40,1,,0
747007,JL-2250,65,40,1,,0
747016,MB-3000,65,40,1,,0
747022,MB-3000,65,40,1,,0
747032,MB-3000,65,40,1,,0
747046,JL-2250,68,52,0,AR-1100,16
747057,JL-2250,65,40,1,,0
747063,MB-3000,65,40,1,,0
747072,JL-2250,65,40,1,,0
747114,RS-0150,65,40,1,,0
747152,RS-0150,65,40,1,,0
747159,ZG-0050,65,40,1,,0
747168,RS-0150,65,40,1,,0
747182,RS-0150,65,40,1,,0
747193,RS-0150,65,40,1,,0
747207,ZG-0050,65,40,1,,0
747209,ZG-0050,65,40,1,,0
747254,RS-0150,65,40,1,,0
747270,ZG-0050,12,12,0,,0
747289,ZG-0050,10,10,0,,0
747297,SH-0400,65,40,1,,0
747333,BM-1650,54,54,0,,0
747345,SH-0400,65,44,0,CL-0275,21
747351,BM-1650,65,40,1,,0
747372,SH-0400,65,40,1,,0
747382,BM-1650,65,40,1,,0
747388,SH-0400,14,14,0,,0
747389,BM-1650,61,43,0,BT-0300,18
747407,BM-1650,57,34,0,BT-0300,23
747413,SH-0400,65,40,1,,0
747433,SH-0400,63,27,0,CL-0275,36
747458,SH-0400,67,43,0,CL-0275,24
747469,SG-0800,59,44,0,TE-0350,15
747483,SG-0800,65,43,0,TE-0350,22
747491,KF-0075,65,40,1,,0
747507,KF-0075,60,40,0,DL-1700,20
747522,SG-0800,65,42,0,JT-3000,23
747534,KF-0075,65,40,1,,0
747538,KF-0075,65,40,1,,0
747546,SG-0800,64,49,0,TE-0350,15
747559,KF-0075,70,46,0,DL-1700,24
747566,SG-0800,65,40,1,,0
747580,KF-0075,65,40,1,,0
747604,KF-0075,65,40,1,,0
747629,KF-0075,65,40,1,,0
747640,SG-0800,65,40,1,,0
747643,CP-0575,65,40,1,,0
747697,CC-1150,65,40,1,,0
747714,CC-1150,63,48,0,JG-2950,15
747722,CC-1150,65,40,1,,0
747735,CC-1150,65,40,1,,0
747754,CC-1150,65,40,1,,0
747801,WL-0300,65,40,1,,0
747817,GG-0100,65,40,1,,0
747832,WL-0300,65,40,1,,0
747842,GG-0100,65,40,1,,0
747857,WL-0300,65,40,1,,0
747872,GG-0100,65,40,1,,0
747882,WL-0300,65,40,1,,0
747904,GG-0100,65,40,1,,0
747913,WL-0300,65,40,1,,0
747930,WL-0300,63,33,0,CS-0050,30
747945,AR-1450,65,30,0,CC-2350,35
747990,JE-0250,70,46,0,DH-1800,24
748020,JE-0250,65,40,1,,0
748045,JE-0250,58,41,0,DH-1800,17
748068,AR-1450,74,51,0,WS-0650,23
748075,AR-1450,63,48,0,WS-0650,15
748086,AR-1450,65,40,1,,0
748093,JE-0250,65,40,1,,0
748104,AR-1450,65,40,1,,0
748114,JE-0250,65,40,1,,0
748124,CB-0700,65,40,1,,0
748140,CB-0700,67,43,0,TW-1125,24
748182,CB-2275,69,40,0,DT-1250,29
748194,CB-0700,65,40,1,,0
748204,CB-2275,65,43,0,DT-1250,22
748227,CB-2275,65,40,1,,0
748256,CB-2275,65,40,1,,0
748280,CB-2275,57,39,0,DT-1250,18
748285,NF-0300,65,40,1,,0
748294,KF-0250,65,40,1,,0
748303,NF-0300,70,50,0,JM-3450,20
748334,KF-0250,65,54,0,BR-0250,11
748358,KF-0250,65,40,1,,0
748366,KF-0250,62,44,0,BR-0250,18
748375,KF-0250,61,11,0,BR-0250,50
748384,NF-0300,65,40,1,,0
748399,KF-0250,65,40,1,,0
748410,NF-0300,65,40,1,,0
748424,KF-0250,65,40,1,,0
748443,BW-0350,65,40,1,,0
748493,RS-3400,65,40,1,,0
748511,RS-3400,65,40,1,,0
748527,BW-0350,66,41,0,AJ-0050,25
748536,RS-3400,65,40,1,,0
748547,BW-0350,65,40,1,,0
748554,RS-3400,65,40,1,,0
748566,RS-3400,65,40,1,,0
748575,RS-3400,65,40,1,,0
748585,BW-0350,42,40,0,AJ-0050,2
748594,RS-3400,65,40,1,,0
748622,BW-0350,12,12,0,,0
748628,MC-3000,64,44,0,AE-1037,20
748640,RB-4650,63,25,0,,0
748649,MC-3000,65,40,1,,0
748671,RB-4650,65,40,1,,0
748677,RB-4650,65,40,1,,0
748705,RB-4650,65,40,1,,0
748716,MC-3000,65,40,1,,0
748741,MC-3000,65,40,1,,0
748766,RB-4650,65,40,1,,0
748781,MC-3000,65,40,1,,0
748783,MC-3000,65,40,1,,0
748793,CS-0250,69,44,0,DK-0687,25
748802,CS-0250,67,42,0,DK-0687,25
748816,CS-0250,67,44,0,DK-0687,23
748827,YK-0100,67,25,0,AH-3875,42
748848,CS-0250,65,40,1,,0
748864,YK-0100,65,41,0,AH-3875,24
748941,CS-0250,65,40,1,,0
748951,DH-3970,65,40,1,,0
748963,DH-3970,65,40,1,,0
749011,DH-3970,65,40,1,,0
749025,GT-0150,65,40,1,,0
749035,DH-3970,65,40,1,,0
749051,GT-0150,65,40,1,,0
749060,DH-3970,70,43,0,CP-0750,27
749073,GT-0150,65,40,1,,0
749083,DH-3970,65,40,1,,0
749104,DB-0200,68,47,0,KW-1250,21
749115,PD-0200,65,40,1,,0
749169,DB-0200,65,40,1,,0
749173,PD-0200,65,40,1,,0
749190,DB-0200,62,43,0,KW-1250,19
749207,PD-0200,55,37,0,RS-3525,18
749223,DB-0200,65,40,1,,0
749240,PD-0200,65,40,1,,0
749246,DB-0200,65,40,1,,0
