pid,punter,pgro,pnet,ptb,pr,pry,pfc
748988,MK-0760,60,60,0,JC-5680,0,1
748993,TW-1175,54,56,0,JR-2075,-2,0
749016,MK-0760,52,47,0,JC-5680,5,0
749023,TW-1175,34,34,0,TC-0385,0,1
749039,MK-0760,42,24,0,JC-5680,18,0
749047,MK-0760,44,44,0,JC-5680,0,0
749065,MK-0760,61,48,0,JC-5680,13,0
749098,TW-1175,32,32,0,TC-0385,0,1
749119,CJ-2100,56,52,0,KW-1250,4,0
749140,CJ-2100,29,29,0,,0,0
749147,AL-0500,35,35,0,,0,0
749158,CJ-2100,39,39,0,KW-1250,0,1
749162,AL-0500,49,28,0,RS-3525,21,0
749179,CJ-2100,42,42,0,KW-1250,0,1
749184,AL-0500,39,35,0,RS-3525,4,0
749197,AL-0500,51,51,0,RS-3525,0,1
749201,CJ-2100,43,43,0,,0,0
749212,CJ-2100,50,50,0,,0,0
749216,AL-0500,39,37,0,RS-3525,2,0
749250,AL-0500,58,42,0,RS-3525,16,0
749254,CJ-2100,52,52,0,CJ-2050,0,0
