pid,psr,trg,loc,yds,comp,succ,spk,dfb
741732,AS-1600,TK-0150,SR,0,0,0,0,
741733,AS-1600,AW-1650,SL,11,1,1,0,
741738,TB-2300,PD-0800,DM,0,0,0,0,
741739,TB-2300,BC-2325,DL,0,0,0,0,TM-2850
741747,TB-2300,JW-2550,SR,0,0,0,0,
741757,CP-0500,LF-0200,SR,4,1,1,0,
741759,CP-0500,DJ-1325,SM,15,1,1,0,
741761,CP-0500,DJ-1325,SR,0,0,0,0,NL-0250
741762,CP-0500,DJ-1325,SL,0,0,0,0,
741764,MS-4100,GT-0100,SM,0,0,0,0,
741768,MS-4100,AA-0025,SR,2,1,0,0,
741769,MS-4100,KG-0650,DR,0,0,0,0,JB-3350
741771,CP-0500,DJ-1325,SR,3,1,0,0,
741776,MS-4100,TR-0370,SL,5,1,0,0,
741777,MS-4100,,NL,0,0,0,0,
741781,CP-0500,LF-0200,SM,0,0,0,0,QD-0300
741783,CP-0500,DJ-1325,SR,2,1,1,0,
741785,CP-0500,JG-3700,SR,-4,1,0,0,
741789,MS-4100,GT-0100,SR,7,1,1,0,
741790,MS-4100,TR-0370,SR,2,1,1,0,
741792,MS-4100,KG-0650,SR,9,1,1,0,
741794,MS-4100,GT-0100,DM,18,1,1,0,
741796,MS-4100,GT-0100,SM,6,1,1,0,
741797,MS-4100,TR-0370,SL,-1,1,0,0,
741799,CP-0500,JB-6950,SL,0,0,0,0,
741801,CP-0500,LF-0200,SM,33,1,1,0,
741802,CP-0500,DJ-1325,SR,0,0,0,0,HN-0300
741804,CP-0500,JB-6950,DM,0,0,0,0,
741807,MS-4100,AA-0025,SR,3,1,0,0,
741810,MS-4100,TJ-2350,SM,0,0,0,0,AB-1500
741811,MS-4100,EE-0050,SR,5,1,1,0,
741812,MS-4100,GT-0100,SM,6,1,1,0,
741816,MS-4100,MJ-2250,SL,6,1,1,0,
741819,CP-0500,LF-0200,SL,0,0,0,0,
741820,CP-0500,LF-0200,DL,0,0,0,0,
741821,CP-0500,,NL,0,0,0,0,
741824,MS-4100,GT-0100,SR,5,1,0,0,
741825,MS-4100,TR-0370,SR,1,1,0,0,
741827,CP-0500,LF-0200,SL,0,0,0,0,QD-0300
741828,CP-0500,JB-6950,SR,12,1,1,0,
741829,CP-0500,JB-6950,SR,11,1,1,0,
741830,CP-0500,LF-0200,SM,18,1,1,0,
741832,CP-0500,JB-6950,SR,0,0,0,0,
741834,CP-0500,JB-6950,SR,9,1,1,0,
741835,CP-0500,JG-3700,SM,0,0,0,0,
741836,CP-0500,LF-0200,SM,0,0,0,0,
741837,CP-0500,JB-6950,SR,0,0,0,0,
741839,MS-4100,TR-0370,SM,13,1,1,0,
741840,MS-4100,EE-0050,SL,0,0,0,0,TB-2400
741841,MS-4100,KG-0650,SL,0,0,0,0,
741842,MS-4100,GT-0100,SM,19,1,1,0,
741843,MS-4100,AA-0025,SM,0,0,0,0,
741844,MS-4100,TJ-2350,SM,0,0,0,0,TB-2400
741845,MS-4100,AA-0025,SM,6,1,0,0,
741849,MS-4100,EE-0050,SR,4,1,0,0,
741850,MS-4100,GT-0100,SM,11,1,1,0,
741852,MS-4100,KG-0650,SR,5,1,1,0,
741853,MS-4100,GT-0100,SL,0,0,0,0,PP-0400
741856,CP-0500,DJ-1325,SL,16,1,1,0,
741860,CP-0500,JN-0625,SL,0,0,0,0,
741861,CP-0500,JN-0625,SL,14,1,1,0,
741862,CP-0500,JB-6950,SR,0,1,0,0,
741863,CP-0500,DJ-1325,SM,8,1,1,0,
741864,CP-0500,LF-0200,SL,7,1,1,0,
741866,CP-0500,TN-0550,SL,0,0,0,0,MK-0752
741867,CP-0500,DJ-1325,DL,24,1,1,0,
741871,MS-4100,MJ-2250,DR,31,1,1,0,
741873,MS-4100,KG-0650,SM,0,0,0,0,
741874,MS-4100,,NL,0,0,0,0,
741878,MS-4100,TR-0370,SM,7,1,1,0,
741881,CP-0500,JG-3700,SM,8,1,1,0,
741886,CP-0500,JN-0625,SL,8,1,0,0,
741890,MS-4100,TR-0370,SL,0,0,0,0,
741891,MS-4100,GT-0100,SL,4,1,0,0,
741892,MS-4100,TJ-2350,DR,16,1,1,0,
741893,MS-4100,GT-0100,SR,17,1,1,0,
741895,MS-4100,TJ-2350,DL,16,1,1,0,
741898,MS-4100,KG-0650,SL,10,1,1,0,
741901,CP-0500,AE-0750,SL,24,1,1,0,
741902,CP-0500,TN-0550,SM,0,0,0,0,PW-1400
741903,CP-0500,KW-1250,SL,2,1,0,0,
741905,CP-0500,LF-0200,DR,0,0,0,0,DS-2250
741909,MS-4100,GT-0100,SL,14,1,1,0,
741911,MS-4100,KG-0650,DM,45,1,1,0,
741914,CP-0500,AE-0750,SM,0,0,0,0,
741917,CP-0500,JG-3700,SM,11,1,1,0,
741918,CP-0500,AE-0750,SR,11,1,1,0,
741919,CP-0500,LF-0200,SM,7,1,1,0,
741920,CP-0500,LF-0200,DR,0,0,0,0,QD-0300
741922,CP-0500,JN-0625,SL,11,1,0,0,
741924,CP-0500,JB-6950,DR,0,0,0,0,
741925,CP-0500,JN-0625,SM,9,1,1,0,
741926,CP-0500,LF-0200,SL,5,1,1,0,
741928,CP-0500,JN-0625,SL,1,1,1,0,
741936,MR-2500,MS-0150,SL,4,1,1,0,
741937,MR-2500,JJ-4700,SM,19,1,1,0,
741938,MR-2500,TG-0025,SR,14,1,1,0,
741940,MR-2500,TC-2050,SM,3,1,0,0,
741942,MR-2500,MS-0150,SR,7,1,1,0,
741949,MG-0850,TC-1975,SM,8,1,0,0,
741950,MG-0850,ZM-0250,SR,8,1,0,0,
741952,MR-2500,TC-2050,SL,0,0,0,0,
741954,MR-2500,MS-0150,SR,0,0,0,0,
741957,MG-0850,TC-1975,SR,-3,1,0,0,
741958,MG-0850,TC-1975,SR,5,1,0,0,
741959,MG-0850,DT-1250,SM,15,1,1,0,
741960,MG-0850,ZM-0250,SR,0,0,0,0,
741963,MG-0850,KW-0887,SL,0,0,0,0,RA-0650
741969,MR-2500,MS-0150,SM,0,0,0,0,RR-0850
741972,MG-0850,TC-1975,SM,2,1,0,0,
741973,MG-0850,KW-0887,SM,6,1,0,0,
741975,MR-2500,JJ-4700,DR,18,1,1,0,
741977,MR-2500,TG-0025,SM,18,1,1,0,
741978,MR-2500,TC-2050,SL,8,1,1,0,
741982,MR-2500,JJ-4700,SM,25,1,1,0,
742001,MG-0850,KW-0887,SL,0,0,0,0,
742005,MG-0850,JH-5575,SL,0,0,0,0,
742009,MR-2500,DF-1875,SL,0,1,0,0,
742014,MG-0850,TC-1975,SL,0,0,0,0,
742016,MR-2500,TC-2050,SR,0,0,0,0,LF-0450
742017,MR-2500,TC-2050,SR,11,1,1,0,
742020,MR-2500,MS-0150,SL,6,1,1,0,
742021,MR-2500,DF-1875,SL,2,1,0,0,
742024,MR-2500,TC-2050,SM,20,1,1,0,
742025,MR-2500,MS-0150,SM,15,1,1,0,
742028,MR-2500,TG-0025,SR,4,1,0,0,
742029,MR-2500,TG-0025,SL,0,0,0,0,
742035,MG-0850,DS-2170,SL,9,1,1,0,
742037,MG-0850,TC-1975,SL,7,1,0,0,
742038,MG-0850,DS-2170,SL,0,0,0,0,
742039,MG-0850,JH-5575,SM,9,1,0,0,
742041,MR-2500,MS-0150,SL,7,1,1,0,
742042,MR-2500,MS-0150,SR,0,0,0,0,
742043,MR-2500,AH-3650,DM,88,1,1,0,
742046,MG-0850,KW-2550,SR,10,1,1,0,
742047,MG-0850,ZM-0250,SM,8,1,1,0,
742048,MG-0850,TC-1975,SL,0,0,0,0,
742049,MG-0850,DS-2170,SM,22,1,1,0,
742050,MG-0850,TC-1975,DL,0,0,0,0,DC-0325
742052,MG-0850,KW-0887,SR,0,1,0,0,
742053,MG-0850,TC-1975,SL,5,1,0,0,
742054,MG-0850,JB-2950,SR,6,1,1,0,
742055,MG-0850,TC-1975,SR,19,1,1,0,
742058,MR-2500,JJ-4700,SR,0,0,0,0,MC-2570
742059,MR-2500,DC-2850,SL,0,0,0,0,KF-0500
742060,MR-2500,AH-3650,SL,40,1,1,0,
742062,MR-2500,MS-0150,SR,8,1,1,0,
742065,MR-2500,LT-0550,DL,0,0,0,0,
742066,MR-2500,JJ-4700,SR,4,1,0,0,
742069,MG-0850,JH-5575,SR,0,1,0,0,
742070,MG-0850,JH-5575,SL,5,1,0,0,
742071,MG-0850,KW-2550,SM,16,1,1,0,
742072,MG-0850,TC-1975,SR,4,1,1,0,
742073,MG-0850,KW-2550,SL,8,1,1,0,
742074,MG-0850,JB-2950,SR,7,1,1,0,
742075,MG-0850,DT-1250,SL,0,0,0,0,
742076,MG-0850,KW-2550,SL,0,0,0,0,RA-0650
742077,MG-0850,JB-2950,SM,14,1,1,0,
742078,MG-0850,TC-1975,SR,0,0,0,0,
742079,MG-0850,ZM-0250,SL,12,1,1,0,
742080,MG-0850,ZM-0250,SL,11,1,1,0,
742081,MG-0850,JB-2950,SL,0,0,0,0,
742082,MG-0850,JH-5575,SL,0,0,0,0,RA-0650
742083,MG-0850,ZM-0250,SL,0,0,0,0,
742088,AD-0100,TK-0850,SL,5,1,0,0,
742091,AD-0100,,NL,0,0,0,0,
742099,JF-1900,DW-4300,SL,12,1,1,0,
742101,JF-1900,DW-4300,SM,13,1,1,0,
742103,JF-1900,BP-0450,SL,5,1,0,0,
742104,JF-1900,JM-0200,SL,8,1,0,0,
742105,JF-1900,DW-4300,SL,8,1,1,0,
742106,JF-1900,BP-0450,SL,0,0,0,0,DD-0950
742108,JF-1900,BP-0450,SL,0,0,0,0,
742112,AD-0100,JM-5275,SR,9,1,1,0,
742116,AD-0100,AG-1500,SR,0,0,0,0,PO-0175
742119,JF-1900,MW-2450,SM,5,1,0,0,
742120,JF-1900,JM-0200,DR,0,0,0,0,
742123,AD-0100,AG-1500,SR,14,1,1,0,
742125,AD-0100,AG-1500,SM,14,1,1,0,
742129,AD-0100,BL-0100,SM,13,1,1,0,
742130,AD-0100,AG-1500,SL,13,1,1,0,
742133,AD-0100,BL-0100,SM,0,0,0,0,
742134,JF-1900,BW-0700,SR,0,0,0,0,
742139,AD-0100,BL-0100,SM,0,0,0,0,
742140,AD-0100,TE-0300,SR,4,1,0,0,
742141,AD-0100,CC-4450,DR,0,0,0,0,
742145,JF-1900,NB-0450,SM,14,1,1,0,
742148,JF-1900,MW-0500,SM,8,1,0,0,
742149,JF-1900,JM-0200,SM,48,1,1,0,
742153,AD-0100,TB-2075,SL,0,0,0,0,TS-3500
742157,AD-0100,AG-1500,SR,0,0,0,0,MJ-2700
742162,JF-1900,BP-0450,SL,0,0,0,0,WJ-0150
742168,JF-1900,TW-1350,SM,0,0,0,0,
742170,AD-0100,JH-4025,SR,-2,1,0,0,
742171,AD-0100,TB-2075,SR,11,1,1,0,
742173,AD-0100,AG-1500,SR,6,1,1,0,
742191,JF-1900,JM-0200,SM,0,0,0,0,DK-0750
742193,JF-1900,JA-1025,SM,0,0,0,0,
742196,AD-0100,BL-0100,SR,5,1,1,0,
742197,AD-0100,AG-1500,DR,0,0,0,0,BC-0500
742198,AD-0100,TB-2075,SL,0,0,0,0,
742206,AD-0100,JM-5275,SL,4,1,1,0,
742208,AD-0100,AG-1500,DM,27,1,1,0,
742209,AD-0100,CC-4450,DL,0,0,0,0,
742211,AD-0100,TB-2075,DL,0,0,0,0,
742218,AD-0100,GB-0350,SM,0,0,0,0,
742221,AD-0100,GB-0350,SL,39,1,1,0,
742222,AD-0100,AG-1500,DL,0,0,0,0,
742224,AD-0100,BL-0100,SM,6,1,0,0,
742225,AD-0100,,NL,0,0,0,0,
742232,AD-0100,JM-5275,SL,2,1,0,0,
742233,AD-0100,AG-1500,SL,0,0,0,0,
742244,BB-2425,AR-1250,SL,17,1,1,0,
742245,BB-2425,AH-3900,DL,20,1,1,0,
742246,BB-2425,LF-0650,SR,6,1,1,0,
742247,BB-2425,ML-1500,SL,0,0,0,0,
742248,BB-2425,ML-1500,SR,0,0,0,0,ZC-0300
742253,TS-0550,DH-3950,DL,0,0,0,0,AB-2250
742257,BB-2425,CI-0300,SR,0,0,0,0,
742260,TS-0550,TE-0350,SL,3,1,1,0,
742261,TS-0550,LM-1150,SM,5,1,1,0,
742264,TS-0550,SA-0850,SM,11,1,1,0,
742266,TS-0550,DH-3950,DM,0,0,0,0,JR-0150
742267,TS-0550,DH-3950,SR,0,0,0,0,
742269,BB-2425,LF-0650,SL,12,1,1,0,
742272,BB-2425,JO-0150,SL,18,1,1,0,
742279,BB-2425,KC-1550,SR,0,0,0,0,MG-0600
742284,TS-0550,BE-0350,SL,0,0,0,0,TS-2050
742290,BB-2425,ML-0650,DL,0,0,0,0,
742293,TS-0550,RG-1870,SR,0,0,0,0,TG-0950
742298,BB-2425,ML-0650,DL,0,0,0,0,
742300,TS-0550,CF-0375,SM,15,1,1,0,
742303,BB-2425,LF-0650,SL,6,1,1,0,
742305,BB-2425,AB-1200,SR,12,1,1,0,
742314,TS-0550,DH-3950,SL,7,1,1,0,
742315,TS-0550,CF-0375,SM,15,1,1,0,
742316,TS-0550,DH-3950,SL,0,0,0,0,MJ-0030
742324,TS-0550,CF-0375,SR,6,1,1,0,
742328,DW-1725,DH-3950,SR,8,1,1,0,
742330,DW-1725,DH-3950,SR,8,1,1,0,
742332,DW-1725,CF-0375,SR,10,1,1,0,
742335,DW-1725,BE-0350,SR,0,0,0,0,
742337,DW-1725,SA-0850,SR,0,0,0,0,
742339,DW-1725,DH-3950,SR,0,0,0,0,JR-0150
742340,DW-1725,DH-3950,SR,7,1,1,0,
742342,DW-1725,DH-3950,SM,4,1,1,0,
742346,BB-2425,AH-3900,SR,0,0,0,0,JJ-5000
742350,BB-2425,AH-3900,SM,13,1,1,0,
742353,BB-2425,AH-3900,SM,9,1,1,0,
742355,BB-2425,TB-1720,SR,1,1,1,0,
742359,DW-1725,DH-3950,SL,0,0,0,0,
742362,DW-1725,SA-0850,SM,0,0,0,0,
742365,DW-1725,DH-3950,DR,0,0,0,0,JR-0150
742367,DW-1725,TE-0350,SL,3,1,0,0,
742374,BB-2425,CI-0300,SL,11,1,1,0,
742376,BB-2425,ML-0650,DL,0,0,0,0,
742377,BB-2425,KC-1550,SR,0,0,0,0,JJ-5000
742379,DW-1725,DH-3950,SL,9,1,1,0,
742381,DW-1725,DH-3950,DL,0,0,0,0,
742382,DW-1725,DH-3950,SL,0,0,0,0,
742383,DW-1725,BM-2350,DR,0,0,0,0,
742387,BB-2425,ML-0650,SR,0,0,0,0,
742389,DW-1725,TE-0350,SL,6,1,1,0,
742391,DW-1725,DH-3950,SL,12,1,1,0,
742395,DW-1725,TE-0350,SL,6,1,0,0,
742396,DW-1725,LM-1150,SM,26,1,1,0,
742398,DW-1725,TE-0350,DR,0,0,0,0,
742399,DW-1725,SA-0850,SM,0,0,0,0,
742407,DW-1725,SA-0850,SR,3,1,0,0,
742412,TT-0500,ZJ-0100,DR,0,0,0,0,
742414,TT-0500,CC-2100,SM,13,1,1,0,
742416,TT-0500,NO-0150,SR,0,0,0,0,KE-0050
742417,TT-0500,LM-1000,SR,21,1,1,0,
742425,TT-0500,CC-2100,SL,0,0,0,0,MW-1800
742426,TT-0500,CC-2100,SL,0,0,0,0,
742427,JM-2900,RA-1125,SL,3,1,0,0,
742429,JM-2900,AS-3550,SL,2,1,0,0,
742431,TT-0500,ZJ-0100,SM,21,1,1,0,
742435,TT-0500,LM-1000,SL,5,1,0,0,
742437,JM-2900,JK-0250,SM,4,1,1,0,
742440,JM-2900,RA-1125,SR,4,1,0,0,
742443,TT-0500,CC-2100,SR,0,0,0,0,
742444,TT-0500,JM-1550,SM,14,1,1,0,
742449,TT-0500,MT-1300,SM,12,1,1,0,
742452,TT-0500,PD-0700,SL,5,1,1,0,
742453,TT-0500,CC-2100,SL,1,1,1,0,
742456,JM-2900,MF-1300,SR,0,0,0,0,
742457,JM-2900,ET-0375,DL,25,1,1,0,
742458,JM-2900,MF-1300,SL,9,1,1,0,
742460,JM-2900,JK-0250,SM,18,1,1,0,
742461,JM-2900,MF-1300,SR,-1,1,0,0,
742462,JM-2900,ET-0375,SR,0,1,0,0,
742463,JM-2900,JK-0250,SL,5,1,0,0,
742466,TT-0500,CC-2100,DL,35,1,1,0,
742470,TT-0500,,NL,0,0,0,0,
742473,JM-2900,MF-1300,SL,0,0,0,0,
742475,JM-2900,JK-0250,SM,11,1,1,0,
742478,JM-2900,WT-0600,SR,5,1,1,0,
742479,JM-2900,,NL,0,0,0,0,
742482,TT-0500,LM-1000,SL,-5,1,0,0,
742483,TT-0500,LM-1000,SM,10,1,1,0,
742485,TT-0500,CC-2100,SR,0,0,0,0,DL-0550
742487,TT-0500,CC-2100,SR,0,0,0,0,JA-0150
742492,JM-2900,BP-1200,SM,8,1,1,0,
742493,JM-2900,BP-1200,SR,5,1,1,0,
742495,JM-2900,BP-1200,SL,0,0,0,0,
742496,JM-2900,AS-3550,SL,0,0,0,0,JP-4150
742499,TT-0500,JM-1550,DL,0,0,0,0,
742503,JM-2900,RA-1125,DR,0,0,0,0,TW-1725
742504,JM-2900,RA-1125,SM,4,1,0,0,
742507,TT-0500,JM-1550,SM,47,1,1,0,
742509,TT-0500,ZJ-0100,SR,0,0,0,0,
742511,TT-0500,AH-3600,SL,1,1,1,0,
742515,JM-2900,RA-1125,SL,11,1,1,0,
742516,JM-2900,JK-0250,SM,12,1,1,0,
742517,JM-2900,WT-0600,SL,8,1,1,0,
742518,JM-2900,JK-0250,SR,5,1,1,0,
742520,JM-2900,WT-0600,SL,21,1,1,0,
742521,JM-2900,AS-3550,SR,8,1,1,0,
742522,JM-2900,JK-0250,SR,0,0,0,0,TW-1725
742523,JM-2900,BP-1200,SR,0,1,0,0,
742527,TT-0500,LM-1000,SR,0,0,0,0,
742529,TT-0500,LM-1000,DL,18,1,1,0,
742533,TT-0500,NO-0150,SL,22,1,1,0,
742538,JM-2900,BP-1200,SL,2,1,0,0,
742541,JM-2900,JK-0250,SL,4,1,1,0,
742543,JM-2900,AS-3550,SL,0,0,0,0,
742547,TT-0500,CC-2100,SL,4,1,0,0,
742549,JM-2900,RA-1125,SL,0,0,0,0,
742550,JM-2900,BP-1200,SL,2,1,0,0,
742551,JM-2900,RA-1125,SR,0,0,0,0,
742554,TT-0500,ZJ-0100,SR,0,0,0,0,
742556,JM-2900,RA-1125,SR,0,0,0,0,SL-0350
742558,JM-2900,AS-3550,SL,0,0,0,0,
742559,JM-2900,MF-1300,SM,12,1,0,0,
742569,JM-2900,JK-0250,DL,0,0,0,0,
742574,DC-0725,AC-2350,SR,6,1,1,0,
742576,DC-0725,JC-4300,SR,22,1,1,0,
742577,DC-0725,AC-2350,SR,8,1,1,0,
742580,MM-0912,RM-1500,SL,0,0,0,0,
742581,MM-0912,ED-0200,SR,0,0,0,0,BI-0150
742582,MM-0912,RM-1500,DM,19,1,1,0,
742586,MM-0912,ED-0200,SM,0,0,0,0,
742587,MM-0912,RM-1500,SR,9,1,1,0,
742590,MM-0912,CD-0975,DR,23,1,1,0,
742595,DC-0725,AC-2350,SL,0,0,0,0,
742596,DC-0725,JC-4300,SL,12,1,1,0,
742599,DC-0725,AC-2350,SL,0,0,0,0,
742602,DC-0725,MC-2900,SM,25,1,1,0,
742604,DC-0725,CP-0750,SL,2,1,0,0,
742607,DC-0725,AC-2350,SR,0,0,0,0,
742608,DC-0725,AC-2350,SR,0,0,0,0,AJ-0050
742609,DC-0725,AC-2350,SM,0,0,0,0,BO-0400
742614,MM-0912,CD-0975,SM,3,1,0,0,
742617,DC-0725,AC-2350,SR,14,1,1,0,
742619,DC-0725,JC-4300,SR,6,1,1,0,
742621,DC-0725,MC-2900,DL,17,1,1,0,
742628,MM-0912,RM-1500,SM,24,1,1,0,
742631,MM-0912,DW-0500,SR,0,0,0,0,
742632,MM-0912,TT-0150,SL,4,1,0,0,
742633,MM-0912,DW-0500,SR,10,1,1,0,
742634,MM-0912,CD-0975,SR,11,1,1,0,
742636,MM-0912,CD-0975,SR,11,1,1,0,
742637,MM-0912,ED-0200,SR,2,1,0,0,
742638,MM-0912,ED-0200,SR,0,0,0,0,KJ-1150
742642,DC-0725,MC-2900,SR,15,1,1,0,
742643,DC-0725,MC-2900,SR,8,1,1,0,
742644,DC-0725,DW-1350,SL,13,1,1,0,
742645,DC-0725,JC-4300,SR,5,1,1,0,
742649,MM-0912,DW-0500,SR,3,1,1,0,
742650,MM-0912,TT-0150,SM,10,1,1,0,
742651,MM-0912,DM-4300,SM,4,1,1,0,
742653,MM-0912,RM-1500,SR,0,0,0,0,
742655,DC-0725,AC-2350,SL,0,0,0,0,
742657,DC-0725,MC-2900,SR,0,0,0,0,AJ-0050
742661,MM-0912,ED-0200,DR,0,0,0,0,
742664,DC-0725,MC-2900,SL,0,1,0,0,
742665,DC-0725,AC-2350,SR,11,1,1,0,
742666,DC-0725,ML-2500,SR,16,1,1,0,
742667,DC-0725,ML-2500,SL,0,0,0,0,
742674,MM-0912,RM-1500,SL,6,1,1,0,
742676,MM-0912,DW-0500,DL,23,1,1,0,
742677,MM-0912,DW-0500,SM,4,1,1,0,
742679,MM-0912,RM-1500,SR,0,0,0,0,KM-0050
742680,MM-0912,ED-0200,SR,8,1,1,0,
742684,DC-0725,JC-4300,SM,11,1,1,0,
742687,DC-0725,AC-2350,SL,0,0,0,0,
742688,DC-0725,JR-2075,SM,6,1,1,0,
742689,DC-0725,MC-2900,DR,18,1,1,0,
742690,DC-0725,SR-0750,DL,19,1,1,0,
742693,MM-0912,DW-0500,DR,17,1,1,0,
742694,MM-0912,ED-0200,SL,0,1,0,0,
742695,MM-0912,CD-0975,SR,0,0,0,0,
742696,MM-0912,ED-0200,SM,0,0,0,0,RN-0300
742699,DC-0725,DW-1350,SR,5,1,0,0,
742700,DC-0725,AC-2350,SL,23,1,1,0,
742703,DC-0725,AC-2350,SR,0,0,0,0,
742706,MM-0912,DW-0500,SM,13,1,1,0,
742707,MM-0912,CD-0975,DL,0,0,0,0,
742709,MM-0912,DW-0500,SL,6,1,1,0,
742710,MM-0912,DW-0500,DR,0,0,0,0,
742711,MM-0912,JS-4550,SR,0,0,0,0,TC-0385
742712,MM-0912,RM-1500,DL,0,0,0,0,
742725,MM-0912,DM-4300,SM,12,1,1,0,
742726,MM-0912,CD-0975,SM,0,0,0,0,
742728,MM-0912,CD-0975,SL,13,1,1,0,
742729,MM-0912,CD-0975,SM,8,1,1,0,
742730,MM-0912,CD-0975,SL,0,0,0,0,
742731,MM-0912,RM-1500,SR,13,1,1,0,
742735,KC-2350,TP-2400,DM,0,0,0,0,
742737,KC-2350,TP-2400,SM,12,1,1,0,
742739,KC-2350,RG-1650,SL,0,0,0,0,
742740,KC-2350,TP-2400,DR,0,0,0,0,NB-0500
742742,CW-1425,TS-2300,DM,0,0,0,0,JN-1750
742744,CW-1425,NA-0050,DL,58,1,1,0,
742747,KC-2350,JC-5680,DM,0,0,0,0,
742748,KC-2350,RG-1650,SL,34,1,1,0,
742750,KC-2350,VD-0100,SL,0,0,0,0,
742752,CW-1425,DS-3300,SL,1,1,0,0,
742754,CW-1425,DS-3300,SR,6,1,0,0,
742755,CW-1425,NA-0050,SL,10,1,1,0,
742761,KC-2350,JC-5680,DR,0,0,0,0,
742767,CW-1425,ZE-0100,SR,7,1,1,0,
742769,CW-1425,ZE-0100,SL,14,1,1,0,
742771,CW-1425,NA-0050,SR,5,1,1,0,
742773,CW-1425,BC-0700,SM,0,0,0,0,
742774,CW-1425,LB-0500,SR,1,1,1,0,
742782,KC-2350,JR-1150,SL,9,1,0,0,
742784,CW-1425,AJ-0430,SR,14,1,1,0,
742785,CW-1425,NA-0050,SM,0,0,0,0,
742786,CW-1425,DS-3300,SR,0,0,0,0,SM-1650
742791,CW-1425,ZE-0100,SM,10,1,1,0,
742794,CW-1425,DS-3300,SR,15,1,1,0,
742797,KC-2350,RK-0150,SR,0,0,0,0,
742798,KC-2350,TP-2400,SL,12,1,1,0,
742800,KC-2350,RG-1650,SL,10,1,1,0,
742801,KC-2350,JR-1150,SM,5,1,1,0,
742802,KC-2350,CT-1220,SM,5,1,1,0,
742804,KC-2350,CT-1220,SM,29,1,1,0,
742807,CW-1425,NA-0050,DM,0,0,0,0,KF-0450
742809,CW-1425,ZE-0100,SM,12,1,1,0,
742810,CW-1425,AJ-0430,DM,0,0,0,0,JN-1750
742812,CW-1425,NA-0050,SM,10,1,1,0,
742813,CW-1425,DS-3300,SM,8,1,1,0,
742814,CW-1425,ZE-0100,SL,9,1,1,0,
742815,CW-1425,AJ-0430,DL,0,0,0,0,BB-2725
742818,CW-1425,BC-0700,SR,11,1,1,0,
742820,CW-1425,DS-3300,SL,0,0,0,0,
742821,CW-1425,TS-2300,SL,30,1,1,0,
742822,CW-1425,ZE-0100,SL,7,1,1,0,
742826,CW-1425,AJ-0430,SM,0,0,0,0,
742827,CW-1425,DS-3300,SR,0,0,0,0,JN-1750
742831,KC-2350,JC-5680,SR,5,1,0,0,
742834,KC-2350,JR-1150,SM,9,1,1,0,
742835,KC-2350,TP-2400,SL,4,1,1,0,
742839,KC-2350,TP-2400,DR,0,0,0,0,
742840,KC-2350,JR-1150,SM,0,0,0,0,
742841,KC-2350,BQ-0050,SM,11,1,1,0,
742843,KC-2350,TP-2400,SL,6,1,1,0,
742844,KC-2350,RG-1650,SR,1,1,0,0,
742845,KC-2350,TP-2400,SL,0,0,0,0,JM-4850
742846,KC-2350,JC-5680,SL,0,0,0,0,
742849,CW-1425,ZE-0100,SM,11,1,1,0,
742850,CW-1425,DS-3300,SM,13,1,1,0,
742851,CW-1425,,NL,0,0,0,0,
742853,CW-1425,AJ-0430,DL,0,0,0,0,DS-5150
742855,KC-2350,RG-1650,SM,0,0,0,0,
742856,KC-2350,RG-1650,DL,16,1,1,0,
742858,KC-2350,TP-2400,SM,28,1,1,0,
742859,KC-2350,TP-2400,SL,4,1,1,0,
742860,KC-2350,JR-1150,SM,0,0,0,0,MJ-0600
742861,KC-2350,JC-5680,SM,0,0,0,0,
742863,CW-1425,NA-0050,SR,4,1,0,0,
742864,CW-1425,WS-0650,SR,5,1,1,0,
742866,CW-1425,TS-2300,DM,0,0,0,0,
742867,CW-1425,ZE-0100,DL,23,1,1,0,
742870,CW-1425,NA-0050,SR,-1,1,0,0,
742872,KC-2350,TP-2400,SM,0,0,0,0,
742873,KC-2350,JC-5680,SR,2,1,0,0,
742874,KC-2350,CT-1220,DR,0,0,0,0,
742876,CW-1425,AJ-0430,SR,0,1,0,0,
742877,CW-1425,AJ-0430,SL,24,1,1,0,
742883,KC-2350,JR-1150,SR,7,1,1,0,
742887,KC-2350,JR-1150,SR,6,1,1,0,
742888,KC-2350,CT-1220,SM,10,1,1,0,
742890,KC-2350,JC-5680,SL,7,1,0,0,
742891,KC-2350,CT-1220,SL,8,1,0,0,
742892,KC-2350,JR-1150,SR,0,0,0,0,
742905,DK-0875,DN-1225,SR,13,1,1,0,
742907,DK-0875,MD-0175,SL,1,1,0,0,
742910,BR-1100,ER-0462,SR,2,1,0,0,
742911,BR-1100,AB-3500,SR,3,1,0,0,
742913,BR-1100,MB-4550,SR,0,0,0,0,
742914,BR-1100,AB-3500,SM,9,1,0,0,
742917,DK-0875,DJ-1850,DR,0,0,0,0,
742918,DK-0875,DJ-1850,SM,14,1,1,0,
742920,DK-0875,RL-1325,SM,3,1,1,0,
742922,DK-0875,MD-0175,SM,8,1,1,0,
742925,DK-0875,DJ-1850,SR,6,1,1,0,
742931,BR-1100,MB-4550,SR,0,0,0,0,
742933,BR-1100,JJ-0725,SR,19,1,1,0,
742935,BR-1100,LB-0250,SL,0,0,0,0,
742937,BR-1100,VM-0250,SM,0,0,0,0,JB-7650
