uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
106130,4541,744398,CAR,6,DWNS,3,1,58,46,3,0,0,0,0,-2,2,-1,1,1,0,5,-8,PUNT
106131,4541,744402,BUF,7,PUNT,3,2,13,21,4,2,0,1,0,4,2,3,2,1,0,0,7,PUNT
106132,4541,744407,CAR,7,PUNT,3,2,9,30,3,1,0,0,0,5,1,-7,2,0,0,5,-7,PUNT
106133,4541,744412,BUF,8,PUNT,3,2,50,14,6,2,0,1,0,8,3,15,3,1,0,0,23,PUNT
106134,4541,744419,CAR,8,PUNT,3,2,56,18,6,2,0,1,0,3,1,-3,5,2,0,0,0,PUNT
106135,4541,744426,BUF,9,PUNT,3,4,18,43,9,2,0,2,0,-1,4,31,4,3,0,0,30,FG
106136,4541,744436,CAR,9,KOFF,4,8,34,25,15,9,2,3,0,8,6,60,8,6,5,0,73,FG
106137,4541,744453,BUF,10,KOFF,4,2,26,25,11,5,0,3,0,11,3,41,8,6,0,10,42,DWNS
106138,4541,744465,CAR,10,DWNS,4,0,9,33,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
106139,4542,744467,TB,1,KOFF,1,6,2,25,13,5,0,3,1,9,4,37,8,4,5,0,51,FG
106140,4542,744482,CHI,1,KOFF,1,6,26,25,11,6,0,4,0,-1,4,54,7,6,0,0,53,INT
106141,4542,744493,TB,2,INT,1,2,17,38,3,1,0,0,0,1,2,8,1,1,0,0,9,PUNT
106142,4542,744497,TB,3,PUNT,1,0,5,87,1,1,0,1,0,0,0,13,1,1,0,0,13,TD
106143,4542,744500,CHI,2,KOFF,1,3,44,13,8,5,1,2,0,17,4,15,4,2,0,10,22,FUM
106144,4542,744509,TB,4,FUM,2,3,56,65,9,3,2,0,1,28,7,0,2,0,7,0,35,TD
106145,4542,744521,CHI,3,KOFF,2,3,21,26,6,1,0,1,0,0,4,15,2,1,0,0,15,INT
106146,4542,744529,CHI,4,KOFF,2,3,5,25,6,2,0,1,0,0,2,21,4,4,0,0,21,PUNT
106147,4542,744536,TB,5,PUNT,2,1,4,20,8,3,0,3,0,0,0,53,7,4,0,5,48,FG
106148,4542,744546,CHI,5,KOFF,3,0,49,25,3,1,0,0,0,7,1,0,2,0,0,0,7,PUNT
106149,4542,744550,TB,6,PUNT,3,5,58,22,11,5,1,4,0,25,6,38,5,4,0,0,63,FUM
106150,4542,744561,CHI,6,FUM,3,2,11,35,3,1,0,0,1,-3,1,19,2,2,0,10,6,PUNT
106151,4542,744566,TB,7,PUNT,3,8,36,8,16,10,3,3,0,42,9,50,6,4,5,10,87,FG
106152,4542,744585,CHI,7,KOFF,4,2,59,10,11,6,0,4,0,0,0,62,11,6,14,0,76,DWNS
106153,4542,744596,TB,8,DWNS,4,1,43,14,3,0,0,0,0,1,1,-5,2,0,0,0,-4,PUNT
106154,4542,744600,CHI,8,PUNT,4,2,7,46,7,3,0,2,0,0,0,47,7,4,0,0,47,DWNS
106155,4542,744607,TB,9,DWNS,4,1,47,7,3,1,0,0,0,5,2,0,1,0,0,0,5,PUNT
106156,4542,744611,CHI,9,PUNT,4,2,7,38,7,5,0,3,1,0,0,57,7,6,5,0,62,TD
106157,4542,744621,TB,10,KOFF,4,1,43,25,3,1,0,0,0,6,3,0,0,0,0,0,6,ENDQ
106158,4543,744625,CLE,1,KOFF,1,1,45,25,3,0,0,0,0,3,2,0,1,0,0,5,-2,PUNT
106159,4543,744630,BAL,1,PUNT,1,3,9,28,6,2,0,2,0,1,2,25,4,2,0,0,26,PUNT
106160,4543,744637,CLE,2,PUNT,1,2,36,9,6,3,1,2,0,11,2,18,4,2,0,5,24,FUM
106161,4543,744644,BAL,2,FUM,1,3,34,67,7,4,1,2,1,9,3,20,4,4,4,0,33,TD
106162,4543,744653,CLE,3,KOFF,1,3,28,25,7,2,0,2,0,5,2,54,5,3,0,10,49,INT
106163,4543,744661,BAL,3,INT,1,1,47,28,4,2,0,1,0,7,2,3,2,1,0,0,10,INT
106164,4543,744665,CLE,4,INT,2,2,58,9,5,1,1,0,0,12,3,5,2,1,5,0,22,PUNT
106165,4543,744672,BAL,4,PUNT,2,3,26,36,6,5,1,3,0,12,3,52,3,3,0,0,64,TD
106166,4543,744680,CLE,5,KOFF,2,2,21,17,5,3,1,2,0,6,2,72,3,2,5,0,83,TD
106167,4543,744688,BAL,5,KOFF,2,2,9,25,4,1,0,1,0,1,1,6,3,1,0,0,7,PUNT
106168,4543,744693,CLE,6,PUNT,2,1,4,7,3,0,0,0,0,2,1,-2,2,0,0,4,0,PUNT
106169,4543,744698,BAL,6,PUNT,2,0,46,32,6,2,0,2,0,0,0,28,5,3,0,0,28,MFG
106170,4543,744704,CLE,7,MFG,2,0,38,48,3,2,0,1,0,0,0,12,3,2,0,5,7,INT
106171,4543,744708,BAL,7,INT,2,0,19,60,3,2,1,1,0,37,1,3,2,2,0,0,40,TD
106172,4543,744714,BAL,8,KOFF,3,2,51,25,5,1,0,1,0,6,3,13,2,1,0,0,19,PUNT
106173,4543,744721,CLE,8,PUNT,3,2,48,18,8,3,1,1,0,23,3,34,4,1,5,0,62,FG
106174,4543,744731,BAL,9,KOFF,3,1,2,25,3,0,0,0,0,0,0,-2,3,1,0,0,-2,PUNT
106175,4543,744735,CLE,9,PUNT,3,2,4,14,3,0,0,0,0,2,1,-1,2,0,0,5,-4,PUNT
106176,4543,744740,BAL,10,PUNT,3,6,19,37,11,4,2,1,0,34,6,19,4,3,0,0,53,FG
106177,4543,744752,CLE,10,KOFF,4,3,15,25,9,4,1,3,0,15,3,48,6,3,5,0,68,INT
106178,4543,744762,BAL,11,INT,4,5,6,20,8,5,3,1,0,24,5,22,3,3,0,0,46,FUM
106179,4543,744770,CLE,11,FUM,4,0,26,51,3,0,0,0,1,0,0,0,3,0,5,0,5,INT
106180,4543,744774,BAL,12,INT,4,2,29,35,6,1,0,1,0,10,5,12,1,1,5,10,17,PUNT
106181,4543,744782,CLE,12,PUNT,4,3,12,20,12,4,1,2,0,14,2,53,10,6,0,10,57,DWNS
106182,4543,744795,BAL,13,DWNS,4,0,28,23,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
106183,4544,744797,PIT,1,KOFF,1,2,18,26,3,0,0,0,0,7,2,0,1,0,0,5,2,PUNT
106184,4544,744802,MIN,1,PUNT,1,3,57,26,6,2,0,1,0,16,3,3,3,2,0,10,9,PUNT
106185,4544,744810,PIT,2,PUNT,1,5,43,22,9,6,2,1,2,26,7,35,2,2,27,15,-22,TD
106186,4544,744825,MIN,2,KOFF,1,1,19,25,3,0,0,0,0,-3,2,0,1,0,0,0,-3,PUNT
106187,4544,744829,PIT,3,PUNT,1,3,12,40,5,3,1,1,1,19,3,-3,2,1,49,5,60,TD
106188,4544,744838,MIN,3,KOFF,2,4,41,25,11,4,1,2,0,7,4,44,6,3,0,0,51,FG
106189,4544,744850,PIT,4,KOFF,2,1,0,25,3,0,0,0,0,2,1,0,2,0,0,0,2,PUNT
106190,4544,744854,MIN,4,PUNT,2,0,56,44,3,0,0,0,0,1,1,0,2,0,0,0,1,PUNT
106191,4544,744858,PIT,5,PUNT,2,1,44,11,5,1,1,0,0,11,2,0,3,0,0,0,11,PUNT
