uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
46061,4540,JB-5725,4,0,0,0,0,0,0,0,0,0,0,0
46062,4540,TH-1850,0,0,0,0,0,0,0,2,0,0,0,0
46063,4540,DM-2775,0,0,0,0,0,0,0,1,0,0,0,0
46064,4540,KW-1250,0,0,0,0,4,0,6,0,0,0,0,0
46065,4540,CP-0500,7,3,18,0,0,0,0,0,0,0,0,0
46066,4540,AE-0750,0,0,0,0,1,0,5,1,1,-6,0,0
46067,4540,JN-0625,0,0,0,0,0,0,0,2,1,15,0,0
46068,4540,LF-0200,0,0,0,0,0,0,0,1,0,0,0,0
46069,4540,IM-0300,0,0,0,0,0,0,0,1,0,0,0,0
46070,4540,JB-6750,0,0,0,0,0,0,0,2,1,9,0,0
46071,4541,CM-1225,0,0,0,0,2,1,2,1,0,0,0,0
46072,4541,CN-0500,4,0,0,0,1,0,1,0,0,0,0,0
46073,4541,KB-0950,0,0,0,0,0,0,0,1,0,0,0,0
46074,4541,DF-2200,0,0,0,0,0,0,0,1,0,0,0,0
46075,4541,RS-0975,0,0,0,0,0,0,0,1,0,0,0,0
46076,4541,JS-6700,0,0,0,0,2,0,-1,0,0,0,0,0
46077,4542,JW-5650,5,3,25,0,1,0,3,0,0,0,0,0
46078,4542,ME-0600,0,0,0,0,0,0,0,2,1,13,0,0
46079,4542,JR-2800,0,0,0,0,7,4,22,0,0,0,0,0
46080,4542,CS-1950,0,0,0,0,0,0,0,1,1,3,1,0
46081,4542,PB-0125,0,0,0,0,1,0,1,0,0,0,0,0
46082,4542,AH-3862,0,0,0,0,0,0,0,1,1,9,0,0
46083,4542,CG-1425,0,0,0,0,0,0,0,1,0,0,0,0
46084,4542,MG-0850,11,3,26,0,0,0,0,0,0,0,0,0
46085,4542,TC-1975,0,0,0,0,0,0,0,2,1,7,0,0
46086,4542,KW-2550,0,0,0,0,0,0,0,4,1,5,0,0
46087,4542,ZM-0250,0,0,0,0,0,0,0,2,0,0,0,0
46088,4542,TG-0450,0,0,0,0,0,0,0,1,0,0,0,0
46089,4542,DT-1250,0,0,0,0,0,0,0,2,1,14,0,0
46090,4543,JF-1900,6,5,23,0,0,0,0,0,0,0,0,0
46091,4543,NB-0450,0,0,0,0,0,0,0,1,1,9,0,0
46092,4543,MW-2450,0,0,0,0,0,0,0,1,1,-1,0,0
46093,4543,TW-1350,0,0,0,0,2,1,6,0,0,0,0,0
46094,4543,JA-1025,0,0,0,0,2,1,5,2,2,13,0,0
46095,4543,JM-0200,0,0,0,0,0,0,0,1,1,2,0,0
46096,4543,KH-2050,2,0,0,0,0,0,0,0,0,0,0,0
46097,4543,CC-3650,0,0,0,0,0,0,0,1,0,0,0,0
46098,4543,SD-0534,0,0,0,0,0,0,0,1,0,0,0,0
46099,4543,DJ-1850,0,0,0,0,1,1,16,0,0,0,0,0
46100,4543,DK-0875,1,0,0,1,1,0,-4,0,0,0,0,0
46101,4543,RH-1950,0,0,0,0,0,0,0,1,0,0,0,0
46102,4544,LB-0250,0,0,0,0,5,2,13,0,0,0,0,0
